# merit_flaw.tsv - qualidades e defeitos EXTRAIDOS dos 15 livros (T749, 2026-08-28)
#
# colunas: nome_EN <TAB> tipo <TAB> custo <TAB> categoria <TAB> livro <TAB> pag_impressa
#
# METODO: pdftotext -layout -enc UTF-8 + corte na CALHA (extract_merit_flaw.ps1, reescrito
# na 135a rodada - armadilhas 8 e 9 do README.md). pagina = indice do split por \f, e
# pag_impressa = pagina_PDF - offset. Offsets MEDIDOS em 2026-08-28 e gravados no
# README.md deste diretorio. O metodo se validou sozinho em core=8 e da=1, que ja
# eram conhecidos.
#
# 2 correcoes da 135a rodada, as duas MEDIDAS:
#   - as 81 linhas do `da` estavam SEM TIPO (notacao 4 nao diz Merit nem Flaw). O extrator
#     agora guarda o cabecalho de secao e o tipo saiu de la: 27 Merit + 54 Flaw.
#   - a linha `Japheth  lob  4` SAIU: era ponto de SUMARIO. O item real e
#     `Disciple of Lazarus / Japheth  lob  48`, que ja estava na lista. 783 -> 782 linhas.
#
# SETE NOTACOES, nao tres (o R125 registrou tres; as outras quatro sairam da medicao
# de 2026-08-28). Um parser que conheca menos perde o resto CALADO:
#   1 core    Acute Sense (1pt. Merit)
#   2 anarch  Peacemaker (2-pt. Merit)              hifen entre o numero e pt
#   3 tos     <nome em linha propria> + (3 pt. Supernatural Merit) na linha seguinte
#   4 da      Ambidextrous (1 point): <prosa>       nao diz Merit nem Flaw - o tipo vem
#             do cabecalho de secao (Physical Merits / Physical Flaws / ...)
#   5 sorc    Path Natural: (5 pt Merit)            dois-pontos ANTES do parentese
#   6 m20va   * Well-Rounded (1 pt. Mental Merit)   marcador antes do nome
#   7 m20va   * Construct (Social Flaw):            SEM custo, so categoria
#
# custo e VERBATIM do livro (string, nao numero): pode ser "2", "1 or 3", "3-5", "" .
# Linhas de indice (sumario) foram descartadas: terminam no numero da pagina que apontam.
#
# FORA: m20 (o PDF esta em portugues), bcm e trel (zero qualidades). Decisao do user
# 2026-08-28: os 15 restantes entram todos, sem filtro por tema.
#
# ESTE ARQUIVO AINDA NAO E A LISTA FINAL. Nome repetido entre livros continua repetido
# aqui de proposito: o dedupe por essencia (pedido 12.1) precisa das descricoes lado a
# lado, e apagar a evidencia antes de decidir e perda calada.
Acute Sense	Merit	1		core	479
Ambidextrous	Merit	1		core	480
Bruiser	Merit	1		core	480
Catlike Balance	Merit	1		core	480
Early Riser	Merit	1		core	480
Eat Food	Merit	1		core	480
Friendly Face	Merit	1		core	480
Blush of Health	Merit	2		core	480
Enchanting Voice	Merit	2		core	480
Daredevil	Merit	3		core	480
Efficient Digestion	Merit	3		core	480
Huge Size	Merit	4		core	480
Hard of Hearing	Flaw	1		core	480
Short	Flaw	1		core	481
Smell of the Grave	Flaw	1		core	481
Tic/Twitch	Flaw	1		core	481
Bad Sight	Flaw	1 or 3		core	481
Fourteenth Generation	Flaw	2		core	481
Fifteenth Generation	Flaw	4		core	481
Disfigured	Flaw	2		core	481
Dulled Bite	Flaw	2		core	481
Infectious Bite	Flaw	2		core	481
One Eye	Flaw	2		core	481
Vulnerability to Silver	Flaw	2		core	482
Open Wound	Flaw	2 or 4		core	482
Addiction	Flaw	3		core	482
Child	Flaw	3		core	482
Deformity	Flaw	3		core	482
Glowing Eyes	Flaw	3		core	482
Lame	Flaw	3		core	482
Lazy	Flaw	3		core	482
Monstrous	Flaw	3		core	482
Permanent Fangs	Flaw	3		core	482
Permanent Wound	Flaw	3		core	482
Slow Healing	Flaw	3		core	483
Disease Carrier	Flaw	4		core	483
Deaf	Flaw	4		core	483
Mute	Flaw	4		core	483
Thin Blood	Flaw	4		core	483
Flesh of the Corpse	Flaw	5		core	483
Infertile Vitae	Flaw	5		core	484
Blind	Flaw	6		core	484
Coldly Logical	Merit	1		core	484
Common Sense	Merit	1		core	484
Concentration	Merit	1		core	484
Introspection	Merit	1		core	484
Language	Merit	1		core	484
Time Sense	Merit	1		core	484
Useful Knowledge	Merit	1		core	484
Code of Honor	Merit	2		core	484
Computer Aptitude	Merit	2		core	484
Eidetic Memory	Merit	2		core	484
Light Sleeper	Merit	2		core	485
Natural Linguist	Merit	2		core	485
Calm Heart	Merit	3		core	485
Iron Will	Merit	3		core	485
Precocious	Merit	3		core	485
Deep Sleeper	Flaw	1		core	485
Impatient	Flaw	1		core	485
Nightmares	Flaw	1		core	485
Prey Exclusion	Flaw	1		core	485
Shy	Flaw	1		core	485
Soft-Hearted	Flaw	1		core	485
Speech Impediment	Flaw	1		core	485
Unconvinced	Flaw	1		core	485
Amnesia	Flaw	2		core	486
Lunacy	Flaw	2		core	486
Phobia	Flaw	2		core	486
Short Fuse	Flaw	2		core	486
Stereotype	Flaw	2		core	486
Territorial	Flaw	2		core	486
Thirst for Innocence	Flaw	2		core	486
Vengeful	Flaw	2		core	486
Victim of the Masquerade	Flaw	2		core	486
Weak-Willed	Flaw	3		core	486
Conspicuous Consumption	Flaw	4		core	486
Guilt-Wracked	Flaw	4		core	486
Flashbacks	Flaw	6		core	487
Elysium Regular	Merit	1		core	487
Former Ghoul	Merit	1		core	487
Harmless	Merit	1		core	487
Natural Leader	Merit	1		core	487
Prestigious Sire	Merit	1		core	488
Rep	Merit	1		core	488
Sabbat Survivor	Merit	1		core	488
Boon	Merit	1-6		core	488
Bullyboy	Merit	2		core	488
Old Pal	Merit	2		core	488
Lawman's Friend	Merit	2		core	488
Open Road	Merit	2		core	488
Sanctity	Merit	2		core	488
Scholar of Enemies	Merit	2		core	489
Scholar of Others	Merit	2		core	489
Friend of the Underground	Merit	3		core	489
Mole	Merit	3		core	489
Rising Star	Merit	3		core	489
Broken Bond	Merit	4		core	489
Clan Friendship	Merit	4		core	489
Primogen/Bishop Friendship	Merit	4		core	489
Botched Presentation	Flaw	1		core	489
Dark Secret	Flaw	1		core	489
Expendable	Flaw	1		core	489
Incomplete Understanding	Flaw	1		core	490
Infamous Sire	Flaw	1		core	490
Mistaken Identity	Flaw	1		core	490
New Arrival	Flaw	1		core	490
New Kid	Flaw	1		core	490
Recruitment Target	Flaw	1		core	490
Sire's Resentment	Flaw	1		core	490
Special Responsibility	Flaw	1		core	490
Sympathizer	Flaw	1		core	490
Enemy	Flaw	1-5		core	490
Bound	Flaw	2		core	490
Catspaw	Flaw	2		core	490
Escaped Target	Flaw	2		core	491
Failure	Flaw	2		core	491
Masquerade Breaker	Flaw	2		core	491
Hunted	Flaw	4		core	491
Old Flame	Flaw	2		core	491
Rival Sires	Flaw	2		core	491
Uppity	Flaw	2		core	492
Disgrace to the Blood	Flaw	3		core	492
Former Prince	Flaw	3		core	492
Hunted Like a Dog	Flaw	3		core	492
Narc	Flaw	3		core	492
Sleeping With the Enemy	Flaw	3		core	492
Clan Enmity	Flaw	4		core	492
Loathsome Regnant	Flaw	4		core	492
Overextended	Flaw	4		core	492
Probationary Sect Member	Flaw	4		core	493
Blood Hunted	Flaw	4 or 6		core	493
Laughingstock	Flaw	5		core	493
Red List	Flaw	7		core	493
Deceptive Aura	Merit	1		core	493
Healing Touch	Merit	1		core	493
Inoffensive to Animals	Merit	1		core	493
Medium	Merit	2		core	493
Magic Resistance	Merit	2		core	493
Hidden Diablerie	Merit	3		core	493
Lucky	Merit	3		core	493
Oracular Ability	Merit	3		core	493
Spirit Mentor	Merit	3		core	493
True Love	Merit	4		core	493
Additional Discipline	Merit	5		core	494
Unbondable	Merit	5		core	494
Nine Lives	Merit	6		core	494
True Faith	Merit	7		core	494
Cast No Reflection	Flaw	1		core	494
Cold Breeze	Flaw	1		core	494
Repulsed by Garlic	Flaw	1		core	494
Touch of Frost	Flaw	1		core	494
Cursed	Flaw	1-5		core	494
Beacon of the Unholy	Flaw	2		core	494
Deathsight	Flaw	2		core	494
Eerie Presence	Flaw	2		core	495
Lord of the Flies	Flaw	2		core	495
Can't Cross Running Water	Flaw	3		core	495
Haunted	Flaw	3		core	495
Repelled by Crosses	Flaw	3		core	495
Grip of the Damned	Flaw	4		core	495
Dark Fate	Flaw	5		core	495
Light-Sensitive	Flaw	5		core	495
Sectarian Ally	Merit	1		lotc	26
Thousand Meter Killer	Merit	1		lotc	26
Outcast	Flaw	2		lotc	26
Broken Antitribu	Flaw	3		lotc	26
Multiple Curses	Flaw	3		lotc	26
Dynamic Personality	Merit	5		lotc	48
Obvious Predator	Flaw	2		lotc	48
Drug Resistance	Merit	2		lotc	67
Addictive Blood	Merit	3		lotc	67
Setite Initiate	Merit	5		lotc	67
Scales	Flaw	1-3		lotc	67
Venomous Bite	Flaw	2		lotc	67
Forked Tongue	Flaw	2		lotc	67
Heartless	Flaw	4		lotc	67
Aura of the Typhon	Flaw	5		lotc	67
Hive-Minded	Merit	1 or 2		lotc	86
Skald	Merit	2		lotc	87
Lesser Mark of the Beast	Merit	4		lotc	87
Totemic Change	Merit	5		lotc	87
Member of the Pack	Flaw	2		lotc	87
Rat in a Cage	Flaw	2		lotc	87
Cannibal	Merit	1		lotc	106
Consanguineous Resistance	Merit	1		lotc	106
Mortuario	Merit	2 or 4		lotc	106
Sanguine Incongruity	Merit	5		lotc	106
Inbred	Flaw	1-5		lotc	107
Shadow Walker	Flaw	6		lotc	107
Court Favorite	Merit	1-5		lotc	121
Eyes of Shadow	Merit	1-4		lotc	121
Bigger Boys Came	Merit	2		lotc	121
Call of the Sea	Merit	2		lotc	122
Controllable Night Sight	Merit	2		lotc	122
Secret Stash	Merit	2-5		lotc	122
Aura of Command	Merit	3		lotc	122
King or Queen of Shadow	Merit	4		lotc	122
Long-Term Planning	Merit	4		lotc	123
Instrument of God	Merit	5		lotc	123
Uncontrollable Night Sight	Flaw	2		lotc	123
Insubordinate	Flaw	3		lotc	123
Unproven	Flaw	3		lotc	123
Distracting Aura	Merit	2		lotc	142
Prophetic Dreams	Merit	2		lotc	142
Cold Read	Merit	3		lotc	142
Paper Trail	Flaw	2		lotc	142
Stigmata	Flaw	2 or 4		lotc	142
