Allies	Aliados são mortais que apoiam e ajudam você — família, amigos ou mesmo uma organização mortal que lhe deve alguma lealdade. Embora os aliados ajudem de boa vontade, sem que você precise persuadi-los ou coagi-los, eles nem sempre estão disponíveis para prestar auxílio; têm as próprias preocupações e só podem fazer até certo ponto em nome da relação de vocês. Ainda assim, podem ter Traços de Antecedente úteis próprios e lhe dar acesso indireto aos contatos, à influência ou aos recursos deles.\nAliados costumam ser pessoas de influência e poder na sua cidade natal. Podem ser de quase qualquer tipo, dependendo do que o Narrador permitir. Você pode ter amigos no necrotério da delegacia, num blog de destaque, na alta sociedade das celebridades locais ou num canteiro de obras. Seus Aliados podem ser um clã de nômades que muda o acampamento de trailers de lugar pela região, ou uma família com gerações de policiais. Você pode até contar o próprio prefeito entre seus amigos, dependendo de quantos pontos gastar neste Traço. Seus Aliados são em geral confiáveis (embora provavelmente não saibam que você é um vampiro, nem mesmo que vampiros existem). Ainda assim, nada vem de graça. Se você acabar cobrando favores do seu amigo da Cosa Nostra, ele provavelmente vai lhe pedir um favor equivalente no futuro. Isso costuma dar início a uma história.... Aliados podem ser somados entre os personagens de uma coterie.\n• Um aliado de influência e poder moderados\n•• Dois aliados, ambos de poder moderado\n••• Três aliados, um deles bastante influente\n•••• Quatro aliados, um deles muito influente\n••••• Cinco aliados, um deles extremamente influente
Alternate Identity	Você mantém uma identidade alternativa, completa, com documentos, certidões de nascimento ou qualquer outra papelada que desejar. Apenas alguns poucos podem saber seu nome ou sua identidade verdadeira. Sua persona alternativa pode estar profundamente envolvida com o crime organizado, ser membro da Seita oposta, uma vigarista que usa identidades alternativas em seus golpes, ou você pode simplesmente reunir informações sobre o inimigo. De fato, alguns vampiros podem conhecê-lo como um indivíduo enquanto outros acreditam que você é uma pessoa completamente diferente.\n• Você é novato nesse jogo de identidades. Às vezes escorrega e esquece a outra persona.\n•• Você está bem estabelecido na sua identidade alternativa. É convincente o bastante para fazer o papel de médico, advogado, vendedor de funerária, traficante ou espião competente.\n••• Você tem uma reputação razoável como sua persona alternativa e é reconhecido pelo nome na área em que se infiltrou.\n•••• Sua identidade alternativa goza de respeito e confiança dentro da sua área de infiltração.\n••••• Você impõe respeito na sua área de infiltração e pode até ter acumulado alguma influência. Tem a confiança (ou ao menos o reconhecimento) de muitos indivíduos poderosos dentro da sua área.
Contacts	Você conhece gente por toda a cidade. Quando começa a fazer ligações pela sua rede, a quantidade de informação que consegue desenterrar é impressionante. Em vez de amigos com quem você pode contar para ajudá-lo, como os Aliados, os Contatos são em boa parte pessoas que você pode subornar, manipular ou coagir para que ofereçam informação. Você também tem alguns Contatos principais — associados capazes de lhe dar informação precisa em seus campos de especialidade. Você deve descrever cada contato principal com algum detalhe antes de o jogo começar.\nAlém dos contatos principais, você tem também um número de contatos menores espalhados pela cidade. Seu contato principal pode estar na promotoria, enquanto os contatos menores podem incluir policiais de rua, funcionários do Detran, seguranças de boate ou membros de uma rede social on-line. Você não precisa detalhar esses vários "conhecidos de passagem" antes do jogo. Em vez disso, para entrar em contato com um contato menor, role sua pontuação de Contatos (dificuldade 7). Você alcança um contato menor por sucesso. É claro que ainda terá de convencê-lo a lhe dar a informação de que precisa, supondo que ele consiga obtê-la.\nContatos podem ser somados dentro da coterie dos personagens.\n• Um contato principal\n•• Dois contatos principais\n••• Três contatos principais\n•••• Quatro contatos principais\n••••• Cinco contatos principais
Domain	Domínio é território físico (em geral dentro da cidade central da crônica) ao qual seu personagem controla o acesso para fins de alimentação. Alguns Membros chamam seu domínio de território de caça, e a maioria guarda seus domínios com ciúme, chegando a invocar a Tradição de mesmo nome para proteger suas reivindicações. Como parte deste Antecedente, a reivindicação do personagem sobre o domínio é reconhecida pelo Príncipe ou por alguma outra autoridade Membro na cidade em que ele se situa.\nO Membro que reivindica o domínio não pode impedir que os habitantes vivos toquem suas vidas, nem exerce influência direta sobre eles, mas pode vigiá-los e acompanhar suas idas e vindas. Também pode incumbir Aliados ou Lacaios de procurar vampiros desconhecidos e avisá-la quando encontrarem algum.\nDomínio se refere especificamente à geografia (na maioria dos casos um bairro ou uma rua) e às propriedades sobre ela, e não às pessoas que ali vivem (que são a ênfase do Rebanho). Domínio tem papel importante na sociedade dos Membros — vampiros sem Domínio significativo raramente conquistam respeito —, mas não é um direito automático a status entre os Malditos.\nVocê pode designar um ou mais pontos de Domínio para aumentar a segurança do território do seu personagem em vez do tamanho dele. Cada ponto assim atribuído à segurança impõe +1 de dificuldade às tentativas de invadir o domínio por parte de qualquer um que seu personagem não tenha autorizado especificamente, e um bônus de -1 de dificuldade aos esforços do seu personagem para identificar e rastrear invasores no domínio. Um Domínio de um ponto de tamanho e dois pontos de segurança, por exemplo, é pequeno mas bastante resistente à intrusão, ao contrário de um Domínio de três pontos de tamanho sem segurança extraordinária.\nCada nível de Domínio reduz em um a dificuldade dos testes de caça do seu personagem e daqueles que ele autoriza a entrar. Também soma à sua reserva de sangue inicial (não à máxima). Se você usar a opção de segurança do domínio, cada ponto de segurança aumenta em um a dificuldade dos testes de caça para vampiros não convidados. Veja a p. 259 para mais informações sobre caça.\nDomínio (tanto tamanho quanto segurança) pode ser adquirido com pontos de Antecedente somados.\n• Um único prédio pequeno, como uma casa unifamiliar ou um estabelecimento social — o bastante para um refúgio básico.\n•• Uma igreja, fábrica, armazém, edifício de porte médio ou outra construção grande — um local com acesso fácil, porém controlável, ao mundo exterior.\n••• Um arranha-céu, um quarteirão ou um cruzamento importante — um local ou área que oferece esconderijos e acesso controlado.\n•••• Um trecho de esgoto, uma rede de túneis de serviço, o enclave de casas numa colina com vista para a cidade — um lugar com defesas inerentes, como uma estrada de montanha isolada, acesso só por ponte ou uma segurança privada vigilante.\n••••• Um bairro inteiro, uma subdivisão étnica como a "Chinatown" ou a "Pequena Itália", ou um subúrbio completo.\nComo dito antes, personagens de uma coterie podem compartilhar os recursos de domínio para obter resultados melhores. De seis a oito pontos garantem toda uma cidade pequena ou uma região urbana distinta como domínio. De dez a 15 pontos garantem um setor urbano importante, mas não gigantesco em área, como "as docas" ou "Highland Park". Uma cidade grande em si pode custar mais de cem pontos de Domínio, como Atlanta, Dallas, Genebra ou Bagdá. Uma cidade como Nova York, Londres, Paris, Roma, São Paulo ou Xangai exigiria muitas centenas de pontos de Domínio.
Fame	Você goza de amplo reconhecimento na sociedade mortal, talvez como artista, escritor ou atleta. As pessoas podem gostar só de serem vistas com você. Isso lhe dá todo tipo de privilégio ao circular pela sociedade mortal, mas também pode atrair uma quantidade indesejada de atenção agora que você não está mais vivo. A maior arma que a fama oferece é a capacidade de influenciar a opinião pública — como a mídia moderna prova o tempo todo. Fama nem sempre está ligada ao entretenimento: um criminoso hediondo num julgamento de grande repercussão provavelmente tem certa dose de fama, assim como um legislador e um cientista que fez uma descoberta popularizada.\nEste Antecedente é obviamente uma bênção ambígua. Você certamente pode desfrutar dos privilégios do seu prestígio — os melhores lugares, convites para eventos que de outro modo perderia, audiências com a elite —, mas às vezes é reconhecido quando preferiria não ser. Por outro lado, seus inimigos não podem simplesmente fazê-lo desaparecer sem causar um alvoroço indevido, e você acha muito mais fácil caçar em áreas populosas, já que as pessoas se aglomeram à sua volta (reduza em um a dificuldade dos testes de caça para cada ponto de Fama). Além disso, o Narrador pode permitir que você reduza a dificuldade de certos testes Sociais contra pessoas particularmente deslumbradas ou impressionáveis.\n• Você é conhecido por uma subcultura específica — a turma das baladas locais, blogueiros do seu ramo ou a elite da Park Avenue, por exemplo.\n•• Pessoas aleatórias começam a reconhecer seu rosto; você é uma celebridade menor, como um criminoso de pequeno porte ou um âncora de telejornal local.\n••• Você tem renome maior; talvez seja um senador ou um artista que emplaca centenas de milhares de visualizações no YouTube.\n•••• Uma celebridade completa; seu nome é frequentemente reconhecido pela pessoa comum na rua.\n••••• Você é palavra corrente. As pessoas dão seu nome aos filhos.
Generation	Este Antecedente representa sua Geração: a pureza do seu sangue e a sua proximidade do Primeiro Vampiro. Uma pontuação alta de Geração pode representar um senhor poderoso ou um gosto decididamente perigoso por diablerie. Se você não colocar nenhum ponto neste Traço, começa o jogo como vampiro de Décima Terceira Geração. Veja a p. 270 para mais informações.\n• Décima Segunda Geração: 11 de reserva de sangue, pode gastar 1 ponto de sangue por turno\n•• Décima Primeira Geração: 12 de reserva de sangue, pode gastar 1 ponto de sangue por turno\n••• Décima Geração: 13 de reserva de sangue, pode gastar 1 ponto de sangue por turno\n•••• Nona Geração: 14 de reserva de sangue, pode gastar 2 pontos de sangue por turno\n••••• Oitava Geração: 15 de reserva de sangue, pode gastar 3 pontos de sangue por turno
Herd	Você construiu um grupo de mortais dos quais pode se alimentar sem medo. Um rebanho pode assumir muitas formas, de círculos de frequentadores de boates fetichistas a verdadeiros cultos erguidos em torno de você como figura divina. Além de fornecer alimento, seu rebanho pode ser útil em tarefas menores, embora seus membros costumem não ser muito controláveis, próximos de você ou particularmente habilidosos (para peões mais eficazes, compre Aliados ou Lacaios). Sua pontuação de Rebanho acrescenta dados aos seus testes de caça; veja a p. 259 para mais detalhes.\nOs jogadores podem comprar Rebanho somado com pontos de Antecedente.\n• Três vasos\n•• Sete vasos\n••• 15 vasos\n•••• 30 vasos\n••••• 60 vasos
Influence	Você tem peso na comunidade mortal, seja por riqueza, prestígio, cargo político, chantagem ou manipulação sobrenatural. Membros com Influência alta podem inclinar, e em casos raros até controlar, os processos políticos e sociais da sociedade humana. Influência representa a soma do seu poder de mover opiniões ou políticas na sua comunidade, sobretudo junto à polícia e à burocracia. Em alguns casos, cultivar Influência é um caminho para gerar Recursos (veja adiante).\nAlguns testes podem exigir que você use Influência no lugar de uma Habilidade, em especial ao tentar dobrar burocratas menores. É mais fácil instituir mudanças amplas em nível local do que em escala mundial (por exemplo, derrubar um prédio "abandonado" é relativamente simples, ao passo que começar uma guerra é um pouco mais difícil).\nInfluência pode ser usada com pontos de Antecedente somados.\n• Moderadamente influente; um fator na política municipal\n•• Bem relacionado; uma força na política estadual\n••• Posição de influência; um fator na política regional\n•••• Amplo poder pessoal; uma força na política nacional\n••••• Extremamente influente; um fator na política global
Mentor	Este Traço representa um Membro ou grupo de Membros que cuida de você, oferecendo orientação ou ajuda de vez em quando. Um mentor pode ser poderoso, mas seu poder não precisa ser direto. Dependendo do número de pontos neste Antecedente, seu mentor pode não passar de um vampiro com uma rede de informações notável, ou pode ser uma criatura de séculos de idade com influência e poder sobrenatural tremendos. Ele pode oferecer conselhos, falar com o Príncipe ou o Arcebispo em seu nome, afastar outros anciãos de você ou avisá-lo quando estiver entrando em situações que não compreende.\nNa maioria das vezes seu mentor é seu senhor, mas pode ser qualquer Cainita interessado no seu bem-estar. Uma pontuação alta de Mentor pode até representar um grupo de vampiros de mentalidade semelhante, como os anciãos da capela Tremere da cidade ou uma célula da Mão Negra.\nTenha em mente que este Traço não é um salvo-conduto. Seu mentor não vai necessariamente chegar como a cavalaria sempre que você estiver em perigo (e, se ela chegar, é provável que você perca um ponto ou mais neste Antecedente depois de despertar sua ira). Além disso, ela pode ocasionalmente esperar algo em troca do seu patrocínio, o que pode render várias histórias interessantes. Um mentor costuma manter-se distante, dando informação ou conselho úteis por camaradagem, mas vai abandoná-lo sem pensar duas vezes se você se mostrar um protégé indigno ou problemático.\n• O mentor é um ancilla de pouca influência, ou um Ductus ou Sacerdote de Matilha.\n•• O mentor é respeitado: um ancião ou um veterano muito condecorado, por exemplo.\n••• O mentor é muito influente, como um membro do Primogênito ou um Bispo.\n•••• O mentor tem grande poder sobre a cidade: um Príncipe ou Arcebispo, por exemplo.\n••••• O mentor é extraordinariamente poderoso, talvez até um Justicar ou Cardeal.
Resources	Recursos são bens de valor cuja disposição seu personagem controla. Esses ativos podem ser dinheiro vivo, mas, à medida que este Antecedente aumenta, é mais provável que sejam investimentos, imóveis ou capital produtivo de algum tipo — terras, ativos industriais, ações e títulos, estoques comerciais, infraestrutura criminosa, contrabando, até impostos ou dízimos. Lembre-se de que vampiros não precisam providenciar alimento algum além do sangue, e suas necessidades reais (em oposição aos desejos) de abrigo são muito facilmente atendidas. Os Recursos de um vampiro vão sobretudo para luxos e para as despesas associadas ao desenvolvimento e à manutenção de Status, Influência e outros Antecedentes. Uma personagem sem nenhum ponto em Recursos pode ter roupas e suprimentos suficientes para se virar, ou pode estar na miséria, morando numa caixa de geladeira embaixo de um viaduto.\nVocê recebe uma mesada básica a cada mês com base na sua pontuação, então detalhe exatamente de onde vem esse dinheiro, seja um emprego, um fundo fiduciário ou dividendos. (Narradores, decidam para a sua localidade e para o período relevante qual é o valor apropriado dessa mesada mensal.) Afinal, a fortuna de um Membro pode muito bem acabar ao longo da crônica, dependendo de quão bem ele a administra. Você também pode vender seus recursos menos líquidos se precisar de dinheiro, mas isso pode levar semanas ou até meses, dependendo exatamente do que estiver tentando vender. Compradores de arte não brotam do nada, afinal.\nOs jogadores podem comprar Recursos para seus personagens com pontos de Antecedente somados.\n• Suficiente. Você consegue manter uma residência típica no estilo da classe trabalhadora com estabilidade, mesmo que os gastos por impulso sejam raros.\n•• Moderado. Você pode se apresentar como membro respeitado da classe média, com o presente e a indulgência ocasionais próprios de alguém de posição ainda mais alta. Pode manter um empregado ou contratar ajuda específica quando necessário. Uma fração dos seus recursos está disponível em dinheiro, em bens facilmente transportáveis (como joias ou móveis) e em outros valores (como um carro ou uma casa modesta) que lhe permitem manter um padrão de vida de um ponto onde quer que esteja, por até seis meses.\n••• Confortável. Você é um membro proeminente e estabelecido da sua comunidade, com terras e moradia própria, e tem uma reputação que lhe permite obter crédito em termos muito generosos. É provável que tenha mais patrimônio em bens e imóveis do que em dinheiro disponível. Consegue manter uma existência de um ponto onde quer que esteja sem dificuldade, pelo tempo que quiser.\n•••• Rico. Você raramente toca em dinheiro, pois a maior parte dos seus ativos existe em formas tangíveis que são em si mais valiosas e estáveis do que papel-moeda. Detém mais riqueza do que muitos dos seus pares locais (se é que se pode chamá-los assim). Quando a obtenção dos seus Recursos não recebe sua atenção habitual, você consegue manter uma existência de três pontos por até um ano, e uma existência de dois pontos indefinidamente.\n••••• Extremamente Rico. Você é o modelo que os outros tentam alcançar, ao menos na imaginação popular. Programas de televisão, matérias de revista e sites de fofoca especulam sobre suas roupas, os aposentos de suas numerosas casas e o luxo dos seus meios de transporte. Você tem ativos vastos e amplamente distribuídos, talvez atados ao destino de nações, cada um com enormes equipes e conexões com todos os níveis da sociedade de uma região. Você viaja com um mínimo de conforto de três pontos, mais com um pouco de esforço. Corporações e governos às vezes procuram você para comprar ações ou entrar em programas de títulos.
