# clan_body_pt.tsv - o CORPO em portugues de cada um dos 61 nomes de PICKER_LIST["clan"].
# T848 (metade PT), 176a rodada 2026-09-03. Traduzido de research/clan_body_en.tsv linha a
# linha: as duas metades carregam as MESMAS 61 chaves, e a chave e o nome EN do picker (V24,
# V210a).
#
# nome_picker<TAB>corpo (com \n escapado) - DUAS colunas, como arch_body_pt.tsv e
# bg_body_pt.tsv. Livro e pagina NAO se repetem aqui: eles tem dono unico no lado _en, e
# duplicar o fato e o que faz as duas copias divergirem (B70, V67).
#
# Nome de cla, de linhagem e de disciplina NAO traduz - e a chave. Titulo de livro tambem nao;
# so o rotulo da fonte muda, p. -> pag. (I21, I100e).
#
# Vocabulario, MEDIDO nos 8 modulos _pt que ja existem em disco:
#   Kindred -> Cainita(s) . Beast -> Besta . Embrace -> Abraco . ghoul -> carnical/carnicais
#   sire -> senhor . childe -> cria . Masquerade -> Masquerade . vitae -> vitae
#   Prince -> Principe . Anarch -> Anarquista . kine/mortals -> mortais
#
# O cabecalho e ASCII por convencao; o DADO abaixo carrega acento, e V411 mede o .lua gerado.
Assamite	Os filhos de Haqim, conhecidos como Assamitas pelo resto dos Cainitas, são uma faca silenciosa no escuro, uma ordem de assassinos sedentos de sangue que participam das guerras secretas dos mortos-vivos operando como matadores de aluguel. Fora da alçada das Seitas, os Assamitas são verdadeiros independentes e mercenários, alugando-se a quem puder pagar o preço de sangue que cobram e não governados pela vontade de Príncipe ou Priscus. Quando um alvo percebe que está sendo caçado por um Assamita, quase sempre já é tarde demais. Nem é preciso dizer que isso torna os Assamitas temidos e execrados por muitos dos outros Clãs.\nNa verdade, os Assamitas são mais do que simples capangas e matadores. O deles é um Clã complexo mas insular, assentado sobre três princípios: sabedoria, feitiçaria e diablerie. A maioria dos Assamitas que os outros vampiros encontram, no entanto, pertence à casta guerreira, e por isso a sociedade Cainita pintou todos eles com esse pincel. Da parte deles, os Assassinos nada fizeram para desfazer o mal-entendido. Se ajuda a conseguir contratos e encobre a verdadeira natureza do Clã, melhor para eles.\nHá muito tempo os Assamitas foram postos na coleira por uma maldição poderosa, imposta pelos Tremere a pedido da Camarilla para conter sua sede de sangue. Não podem provar a vitae de vampiros sem que ela lhes cause dano. Em sua busca contínua por baixar a Geração e se aproximar de sua figura sagrada, Haqim (que alguns estudiosos de fora afirmam ter sido da Segunda Geração, enquanto outros insistem que era um juiz nomeado pelos demais Antediluvianos), os Assamitas precisam refinar o sangue Cainita até uma solução alquímica. Não fosse esse jugo místico, os Assamitas certamente estariam soltos numa cruzada de diablerie profana.
Brujah	O legado dos Brujah é o de uma grandeza serena manchada pela própria natureza ardente deles. Deles foi a glória da antiga Cartago, mas a traição Ventrue na Roma antiga pôs fim ao sonho. Desde então, os Brujah guardam rancor.\nEsta noite, os Brujah são rebeldes e provocadores, arruaceiros de taco em punho e\nagentes de mudança numa sociedade há muito aleijada pela estagnação. Como rebeldes, está na natureza deles desafiar o status quo — embora às vezes, sem oposição à altura, eles próprios encarnem o status quo. Não faz mal, porque há sempre um Brujah de sangue quente à espreita, pronto para derrubar um irmão de Clã que se acomodou demais no papel de rebelde virado ditador.\nMais do que qualquer outro Clã, os Brujah ainda sentem as chamas das paixões que os inspiravam quando mortais. O Clã Brujah ama uma causa e é rápido em agir diante de um discurso inflamado, de uma acusação de injustiça ou de um chamado às armas. Essa ligação com a paixão pode ser uma bênção, mas a inspiração também pode ceder à loucura e à fome da Besta.\nNenhum Príncipe sensato vira as costas para um Brujah, e raro é o Brujah que se deixaria manipular ou bajular. Um Brujah é senhor de si, antes de tudo, e quem tentar pô-lo na coleira enfrenta uma\ntarefa terrível. Um Brujah que se ache passado para trás vai rasgar o inimigo em tiras primeiro e talvez lembre de fazer perguntas depois, não importa se ele é um Primogen ou uma autoridade mortal.\nAlguns historiadores Cainitas afirmam que os Brujah converteram sua antiga traição num papel de agitadores contra a mesmíssima ordem que ajudam a sustentar. Outros afirmam que os Brujah há muito se submeteram à vontade dessa mesma ordem, sendo pouco mais que uma oposição leal e impotente. A maioria dos Brujah não se importa com nenhuma das versões, desde que alguém precise de uma bela surra e eles possam ser quem a aplica.
Followers of Set	Vício, aviltamento, corrupção e desespero apavoram muitos Cainitas, que temem que a não-vida deles vire ruína; mas para os Seguidores de Set essas coisas, e outras piores, são as ferramentas do ofício. Cafetões, traficantes e sacerdotes, os Setitas atendem às necessidades dos desesperados e, ao fazê-lo, convertem-nos a uma causa niilista. Seja carne, dinheiro, drogas ou segredos sombrios, os Seguidores de Set podem providenciar, e quando o fazem\npraticamente garantem uma segunda visita de quem os procurou.\nOs Seguidores de Set são tanto uma religião ctônica quanto um Clã, embora a fé inclua o Clã. Sua mitologia é complexa e intrincada, um panteão impenetrável de deuses-monstros. No ápice desse culto está um sincretismo entre Set, o Senhor egípcio do Submundo, e a hidra grega Tífon, tão guardiães espirituais de lugares secretos quanto “libertadores” da alma alheia. Para os de fora, tudo isso é afetação religiosa blasfema, mas para o Setita devoto o culto e a causa são reais, e seu senhor sombrio realiza a vontade dele através deles.\nNem é preciso dizer que a política do desespero e o aplacamento de deuses malignos põem as Serpentes do lado de fora da sociedade Cainita. Os Setitas não se incomodam. Os\nCainitas volta e meia se veem precisando do que os Seguidores de Set vendem, e o “serviço” extra do sigilo é um que os Setitas fornecem de bom grado — com ágio. Os Setitas oferecem um pacto com o diabo, mas nos termos deles. Assim, quando cobram o que lhes é devido e despejam sangue e almas na goela da besta Tifônica, todos os sacrifícios terão sido entregues de livre vontade.
Gangrel	Um brilho de olhos vermelhos na escuridão, o cheiro do almíscar de um predador, um lampejo de presas, o som de carne rasgando: são estas as marcas da presença dos Gangrel. Mais do que qualquer outro Clã, os Gangrel lembram os animais associados às lendas de vampiros: morcegos, lobos e outras criaturas das trevas. De fato, os Forasteiros podem desenvolver a capacidade de se transformar nessas e em outras formas ainda mais primais.\nOs Gangrel têm outras características em comum com os animais. Muitos evitam as elaboradas construções sociais tanto dos Cainitas quanto dos mortais. Boa parte deles prefere andar sozinho ou como membro de pequenas matilhas e coteries. A maioria é resistente e, quando pressionada, feroz. E quando um Gangrel sucumbe às depredações da Besta, fica com algum traço que evoca o reino animal.\nComo Clã, os Gangrel são desconfiados e arredios. A maioria preferiria passar as noites espreitando presas ou correndo solta pelos telhados a obedecer editos de Príncipe ou pleitear reconhecimento de domínio. A relação deles com a sociedade vampírica é tensa, e os Forasteiros estão entre os que mais viram Anarquistas ou Autarkis. Em algumas localidades, os Gangrel abandonaram coletivamente a filiação a qualquer Seita — na medida em que os Gangrel realmente façam alguma coisa coletivamente.\nA Jyhad parece menos pronunciada entre os Gangrel do que entre os outros Clãs, e os Forasteiros têm pouca consideração pelo conflito eterno. As diferenças entre Gangrel caem mais frequentemente sobre domínio e direitos de caça do que sobre desconfiança geracional, e as coisas que preocupam os jovens Forasteiros são as mesmas que preocupam os anciãos e até os matusaléns do Clã. Ainda assim, seria difícil chamar de amistosa a relação entre Gangrel de gerações diferentes, salvo em casos isolados de senhor e cria. A Besta sempre desconfia de quem venha tirar sustento dela.
Giovanni	Alcançando proeminência durante o Renascimento veneziano, a família Giovanni construiu sua fortuna sobre a ascensão da classe média e o lucro fácil dos bancos e do comércio mediterrâneo (e do empreendimento criminoso que veio junto). Com a ascensão da família, porém, veio a soberba, à medida que seu paterfamilias buscava cada vez mais poder — e com a soberba veio o horror. Com seu poder terreno no auge, Augustus Giovanni voltou-se para as artes de controlar os mortos e, ao fazê-lo, recebeu o Abraço de um Antediluviano esquecido. Com um conclave de conspiradores, os Giovanni mergulharam no esquecimento um Clã hoje apagado da memória e ergueram o próprio legado sobre o cadáver dele.\nDesde aquelas primeiras noites, os Giovanni não aceitaram limite algum às suas ambições, apesar da oposição dos Cainitas de fora do Clã e de uma merecidíssima reputação de “Cainitas Diabólicos”. Estudaram artes proibidas, tornando-se formidáveis na nigromancia que lhes deu poder sobre os espíritos dos que partiram, e a degeneração veio na esteira do ritual impuro. Até esta noite, os Giovanni são conhecidos pela natureza insular do Clã e pelas práticas incestuosas com que o povoam. Algumas famílias e facções de fora caem sob os auspícios Giovanni, mas a esmagadora maioria do Clã vem da família mortal aviltada. A família segue bem-sucedida apesar de todos os seus pecadilhos macabros, e acumulou vasta riqueza através do crime, da política e dos segredos dos mortos — riqueza que a mantém em sua posição de opulência degradada.\nEm público, os Giovanni fazem grande alarde de humildade e respeito. Parte dessa gentileza é hábito de séculos, remanescente da época em que os outros Clãs caçavam os Necromantes usurpadores (e serve para preservar a neutralidade duramente conquistada no conflito entre Camarilla\ne Sabbat). Outra parte é a luva de veludo que esconde o punho de ferro da natureza deles, notável por forçar fantasmas, mentes e corpos a se curvarem às suas necessidades. Se for para ouvir os Giovanni, Príncipes e Arcebispos igualmente lhes devem favores, e qualquer um com algo a oferecer pode ganhar o patrocínio deles.\nNa maior parte, os Giovanni participam pouco da Jyhad, perseguindo a própria agenda de cultivar riqueza e erguer uma base de poder nas terras além do véu da morte. Os de fora raramente compreendem os objetivos dos Necromantes, mas só os Giovanni mais confiáveis sabem que o Clã quer mergulhar o mundo num estado em que mortos e vivos se misturem.\nE, com seu domínio da Necromancia, os Giovanni estariam posicionados para governar tudo.
Lasombra	Para a mente de um Lasombra, é melhor reinar no inferno que servir no céu. Medo, frenesi, o poder de decidir se outro vive ou morre: é aí que está a raiz do poder que os Lasombra tanto prezam. Enquanto outros vampiros tentam em vão manter a Besta à distância ou se entregam inteiramente a ela, os Lasombra espancam\na Besta até a submissão, invocando-a quando lhes convém mas deixando-a presa lá dentro quando querem governar a si mesmos.\nÉ com essas inclinações que os Lasombra se dizem uma “nobreza sombria”, uma aristocracia da noite que escolheu a supremacia dos Cainitas em vez da\nveneração da Masquerade.\nA consideração que têm por ideias como redenção e salvação é cínica na melhor das hipóteses, e boa parte da pompa que moldou a visão de mundo do Clã antes do Sabbat só permanece sob uma ironia negríssima ou um escárnio aberto. A grandeza e os rituais da Igreja e da aristocracia, no entanto, seguem caros aos Lasombra, e o Clã foi decisivo não só para estabelecer muitos dos rituais do Sabbat como para erguer as instituições que impedem a Seita de descambar no caos a cada noite.\nQuer se vejam como instrumentos de Deus ou como párias de Sua criação, os Lasombra acreditam ter um dever (para com a Seita, o Clã, a matilha, ou mesmo só para consigo) — e a obrigação para com suas responsabilidades lhes dá um perverso senso de propósito. Até um shovelhead Lasombra pode se achar um palmo acima dos demais; um número surpreendente de Lasombra sobrevive aos Abraços em massa, talvez graças à intervenção de seus senhores.\nEmbora a noite pertença a todos os Cainitas, os Lasombra realmente nasceram para as trevas, a ponto de o próprio nome do Clã revelar seu laço com a sombra. Deles é a Disciplina de Obtenebração, que lhes permite manejar a substância da sombra e da escuridão, e até alcançar, para além da escuridão do mundo físico, o abismo que jaz do outro lado.
Malkavian	O Clã Malkavian é duplamente condenado: uma vez pela maldição de ser Cainita e outra pelo tumulto que perturba seu coração e sua mente. Ao receber o Abraço, todo Malkavian é acometido de uma insanidade insuperável que fratura sua visão de mundo por todas as noites seguintes, fazendo de sua não-vida uma loucura. Alguns consideram isso uma forma de percepção oracular; outros simplesmente os consideram perigosos.\nNão se engane: a insanidade Malkavian é um fenômeno doloroso e alienante, mas ocasionalmente dá aos Lunáticos lampejos de compreensão ou uma perspectiva até então desconhecida. A loucura dos Malkavian pode tomar a forma de qualquer quadro clínico de insanidade, ou pode ser uma hiperacuidade de sentidos que os outros nem sabem ter; um titereiro sobrenatural puxando as cordas do Malkavian, ou a sensação de que o Malkavian está de algum modo adiantado no calendário evolutivo. Uma Malkavian pode se crer uma ideia ganhando forma física ou o avatar de algum conceito que o Mundo das Trevas ainda não encontrou. Pode ser uma psicopata delirante sem trégua, ou uma pessoa quase sempre lúcida às vezes reduzida à catatonia pelo medo de um cataclismo cósmico iminente.\nSua estabilidade precária torna difícil para os outros Cainitas (ou, aliás, para qualquer vaso que cruze o caminho deles) interagir com Malkavians. O Clã por vezes se entrega a “pegadinhas” elaboradas, aterrorizantes e perigosas, que em nada ajudam a torná-los queridos pelos outros vampiros. Esses incidentes teoricamente servem para educar o alvo, mas a lição costuma se perder entre a correria do vampiro para se salvar e a incapacidade de decifrar a lógica interna do Malkavian. Pegadinhas comuns podem ser trocar a porta do refúgio de um Toreador vaidoso por uma guilhotina, ou redistribuir a fortuna de um ancião Brujah enquanto ele está no Elysium, ou ainda dar a um caçador a localização onde os Nosferatu se reúnem. Os Cainitas temem e detestam a palavra “pegadinha” quase tanto quanto detestam os próprios Lunáticos.
Nosferatu	Quem duvida de que o Abraço é uma maldição não precisa olhar além dos Nosferatu. Retorcidos pela marca de Caim, os membros do Clã Nosferatu são deformados pelo Abraço em monstros medonhos. Por isso se esgueiram e se mantêm nas sombras, e muitas vezes atraem a ira e o escárnio dos outros Cainitas por sua aparência de pesadelo. Outros ainda ficam tão aterrorizados ou enojados pelos Nosferatu que esses Cainitas deformados quase não têm\ninteração social nenhuma.\nEm favor deles, os Nosferatu acabam de posse de muitos dos segredos sussurrados por seus relutantes semelhantes. Os Ratos de Esgoto gozam de um respeito a contragosto como corretores de informação dos Cainitas, dado seu talento sobrenatural para a furtividade e o fato de que muitos Cainitas preferem ignorá-los a reconhecê-los. Nosferatu espertos exploram isso ao máximo, convertendo a hipocrisia dos outros vampiros em lucro próprio.\nNo conjunto, a condição Nosferatu é solitária e alienante. Como reagem à Maldição de Caim varia conforme a visão de mundo e a resistência mental de cada um, mas é difícil ser objeto de repulsa absoluta e não deixar que isso molde de algum modo a disposição de alguém para com seus “semelhantes”. Alguns dos Ratos de Esgoto são cruéis, tão corroídos por dentro quanto por fora, enquanto outros são criaturas trágicas e miseráveis, amaldiçoadas com a condição de eterno forasteiro sem terem escolhido nada. Uns poucos Ratos de Esgoto chegam a se colocar como profetas ou avatares dos Danados, encarnando fisicamente o enigma que assombra: “Uma Besta eu sou, para que uma Besta eu não me torne.”
Ravnos	Os Ravnos se movem como os rumores que os cercam. São o ladrão na noite, o raksha perseguido pelo vento, o sonho-pesadelo assustador demais para ser real. Associados ora ao povo Rom da Europa, ora aos ghûl saqueadores de túmulos da Ásia Ocidental, os Ravnos carregam o fardo dos preconceitos que a sociedade Cainita lhes atribui: sujeira, impureza e maldade.\nCom reputações assim, os Ravnos são tidos como forasteiros mesmo entre os Cainitas que não se aliam a Seita alguma. Muitos Ravnos jovens tendem a não-vidas nômades, indo de um domínio a outro ou se escondendo nas margens de territórios estabelecidos, de onde possam fugir se o humor dos Cainitas locais virar contra eles. Isso agrava sua fama de transeuntes, ciganos e flagelos vagabundos, mas os vampiros Ravnos se adaptam bem, prosperando no papel marginal. De fato, muitos escolhem se tornar exatamente os terrores vorazes que os outros Cainitas acreditam que sejam.\nOs mais esclarecidos entre os Ravnos seguem uma ideologia de Clã inspirada no ciclo de reencarnação professado por muitas religiões indianas. Entre alguns membros jovens e sem princípios, porém, essa filosofia vira propensão ao capricho ou desculpa para o caos. São estes últimos que dão a tantos Ravnos a má fama, mas mesmo os devotos parecem bizarros para muitos vampiros.\nOs Ravnos praticam uma Disciplina única, conhecida como Quimerismo, que convence seus inimigos de que veem coisas que não existem. O Quimerismo muito contribui para convencer os Cainitas de que os Ravnos negociam em mentiras e desorientação, mas também pode ser a salvação de um Enganador e suavizar as agruras de uma não-vida de pária.
Toreador	Da perspectiva Toreador, quando o sol se apaga a escuridão dá origem a um mundo eterno e maravilhoso. Tudo está carregado de maravilha e terror, de política rasteira e glórias sensuais, do profundo e do profano, e de uma inegável corrente sanguínea por baixo. Esses Cainitas são os Toreador, e passam suas não-vidas aninhados no prazer.\nClaro que, para vampiros dessa disposição, é fácil ficar blasé e amargo. Mais do que os outros Clãs, os Toreador costumam sucumbir ao tédio, ou combater o eventual enfado da imortalidade imutável brincando de rivalidades. Um excesso de estímulo os transforma em escravos das sensações que buscam. Os Toreador mais aviltados podem virar verdadeiros monstros, afundando em níveis inimagináveis de depravação só para sentir alguma coisa.\nOs Cainitas do Clã Toreador com frequência se envolvem muito com o mundo dos mortais. Têm inúmeras razões: desfrutar da proximidade do rubor da vida, cultivar verdadeiros cultos de seguidores devotados, ou influenciar e seguir as tendências que os próprios semelhantes ao mesmo tempo zombam e veneram. Se for para ouvi-los, os Toreador são as Musas de um mundo mortal desesperado, inspirando pela beleza ou pelo mecenato.\nA cultura Toreador é uma mistura de sibaritas, diletantes e visionários. Alguns Toreador, com ecos da paixão mortal, Abraçam amantes ou “projetam” uma prole que parece afrontar todo costume Toreador. Ou essas crias não duram muito, ou alcançam grande proeminência como subversivas e individualistas. Ideias, tendências e\n“a próxima grande coisa” se espalham pelo Clã, e os outros Cainitas frequentemente olham para os Toreador em busca de orientação. Os Degenerados sabem disso, e muitos se tornam Harpias, Príncipes e outras figuras-chave da sociedade vampírica.
