# road_sins_titles.tsv - o CABECALHO do bloco 4 de I141a, nos 2 idiomas (T931, I141c, Q57).
# A MAO. 57 tids, os mesmos que road_sins_map.tsv aponta.
#
# tid<TAB>titulo_en<TAB>titulo_pt<TAB>nota
#
# POR QUE ESTE ARQUIVO EXISTE E NAO E COLUNA DO raw: em 9 dos 57 o titulo que o parser colhe e
# PROSA COLADA, nao titulo - a caixa do titulo flutua e o pdftotext entrega a linha de texto que
# ficou na mesma altura. Os 9 estao marcados na coluna nota com o lixo que o raw traz. Corrigir
# no raw seria editar saida de maquina a mao, que e o que road_sins_parse.ps1 proibe no cabecalho.
#
# O titulo do FILHO e o que o LIVRO da ao filho, nao o da mae (Q57): "HIERARCHY OF SINS AGAINST
# THE HUNT" ja diz de que trilha a tabela fala, e quem quer a mae abre a mae no picker. Os 2 do
# dac p.84 sao a excecao e por isso saem VAZIOS: o livro nao da titulo nenhum a eles, so a frase
# "mechanically similar to X, but with these additions/replacements" - o gerador cai no titulo da
# MAE nesses 2, que e a unica saida que nao inventa nome.
#
# ⚠ O TITULO NAO E CHAVE. 2 pares repetem: da:116:1 e da:130:1 sao os dois "AGAINST WHO YOU ARE"
#   (Road of the Beast p.116 E Road of Lilith p.130) - e o motivo de o mapa casar por tid.
bh:54:1	Via Hyron: Path of the Hive Hierarchy of Sins	Via Hyron: Hierarquia de Pecados da Trilha da Colmeia
bh:57:1	Path of the Scorched Heart Hierarchy of Sins	Hierarquia de Pecados da Trilha do Coração Chamuscado
bh:59:1	Path of Self-Focus Hierarchy of Sins	Hierarquia de Pecados da Trilha do Foco Interior
bh:117:1	Hierarchy of Sins against the Asakku	Hierarquia de Pecados contra os Asakku
core:312:1	Hierarchy of Sin — Humanity	Hierarquia do Pecado — Humanidade	raw traz "to be done to get it. Though she won’t necessarily go" - a tabela do core p.312 tem cabecalho de PROSA (I141h a)
core:317:1	Path of Blood Hierarchy of Sins	Hierarquia de Pecados da Trilha do Sangue
core:319:1	Path of the Bones Hierarchy of Sins	Hierarquia de Pecados da Trilha dos Ossos
core:322:1	Path of Caine Hierarchy of Sins	Hierarquia de Pecados da Trilha de Caim
core:324:1	Path of Cathari Hierarchy of Sins	Hierarquia de Pecados da Trilha dos Cátaros
core:326:1	Path of the Feral Heart Hierarchy of Sins	Hierarquia de Pecados da Trilha do Coração Selvagem
core:328:1	Path of Honorable Accord Hierarchy of Sins	Hierarquia de Pecados da Trilha do Acordo Honrado
core:330:1	Path of Lilith Hierarchy of Sins	Hierarquia de Pecados da Trilha de Lilith
core:332:1	Path of Metamorphosis Hierarchy of Sins	Hierarquia de Pecados da Trilha da Metamorfose
core:334:1	Path of Night Hierarchy of Sins	Hierarquia de Pecados da Trilha da Noite
