# merit_flaw_body_pt.tsv - corpo PT de cada qualidade/defeito (SPEC T751, I21, V210)
#
# colunas: nome_EN canonico <TAB> corpo_PT. O \n de 2 chars e QUEBRA DE PARAGRAFO -
# gen_merit_data.ps1 o troca por linha em branco ao montar o bloco 3 de I21.
# Nome da entrada e titulo do livro NAO traduzem (I100e); so p. -> pag., e o gerador faz isso.
# Vocabulario travado nos 4 pares de descricao que a ficha ja carrega: Kindred=Cainita,
# Storyteller=Narrador, dice pool=parada de dados, Willpower=Forca de Vontade, e os nomes
# cruzados de qualidade/defeito vem de research/merit_flaw_pt.tsv.
#
Ability Deficit	Por alguma razão, você ficou aquém do seu potencial. Talvez seja jovem demais para ter aprendido muito sobre a vida (uma excelente razão para um mago-criança ter este Defeito); ou levou uma existência protegida, afiando seus Conhecimentos mas carecendo de Talentos. Você pode ser um construto que deixou o laboratório há pouco tempo, ou ser fisicamente frágil demais para ter dominado grande coisa em Talentos ou Perícias. Certamente há alguma razão de história por trás dos seus Traços deficientes, e essa causa terá outros efeitos sobre a crônica também.\nEm termos de jogo, este Defeito subtrai cinco pontos de uma das suas categorias de Habilidade (Talentos, Perícias ou Conhecimentos) e limita seus Traços iniciais naquela categoria a três pontos ou menos, mesmo que você gaste pontos livres para elevá-los. (Você pode, é claro, elevá-los depois que a crônica começar.) Como dito acima, este é um bom Defeito para crianças Despertas, construtos e outros que ainda não tiveram a chance de "ser tudo o que podem ser".\nPara detalhes sobre magos jovens, veja Magos-Crianças no Capítulo Dois, pp. 115-116.
Absent-Minded	Hã… o que era mesmo aquilo que você estava tentando lembrar? Droga… Este Defeito reflete uma memória e um senso de conexão dispersos – nada tão perigoso quanto uma Perturbação completa (Mage 20, pp. 648-650), mas ainda assim uma desconexão angustiante e ocasionalmente arriscada.\nEm termos de sistema, seu Narrador frequentemente vai pedir rolagens de Inteligência para lembrar coisas como nomes, rostos, detalhes de missões e por aí vai. Em termos de história, você vive dando branco, confundindo pessoas com outras, embaralhando dados, deixando projetos pela metade (ou totalmente abandonados), esquecendo de alimentar seu familiar e cometendo erros de julgamento potencialmente perigosos. Embora você não vá esquecer coisas vitais como seu nome, os elementos do seu foco mágico ou Traços vitais do personagem (Talentos, Perícias e Conhecimentos), o resto escapa da sua cabeça com uma regularidade frustrante. E quando essa cabeça comanda os poderes da Magia Verdadeira, esses lapsos podem ter consequências fatais.
Addicted to Vampire Blood	Sua personagem precisa constantemente da euforia que só o sangue de vampiro proporciona. Fora isso, ela se sente vazia e apática. Esse hábito é dos mais perigosos e só pode ser vencido por abstinência completa (e, provavelmente, com não pouca terapia). Sempre que sua personagem tiver acesso à vitae de um Cainita e quiser resistir ao impulso de beber, o Narrador pode exigir uma rolagem de Autocontrole. Se ela não provar sangue de vampiro por mais de uma semana, você sofre +1 de dificuldade progressiva nessas rolagens até que ela mate a sede. Defeito Físico
Addiction	Você sofre de um vício em alguma substância, que agora precisa estar presente no sangue que você bebe (ou você entra em frenesi automaticamente, como no Defeito Exclusão de Presa). Pode ser álcool, nicotina, drogas pesadas ou simplesmente adrenalina. Essa substância sempre o prejudica de alguma forma (veja "Venenos e Drogas", p. 301, para detalhes).
Aging	Você não é mais tão ágil quanto era. Reduza em um ponto um Atributo Físico à sua escolha. Um Atributo não pode cair abaixo de um por causa deste Defeito. Você pode adquiri-lo aos 40 anos e mais uma vez a cada década depois disso. Mental
Albino	O albinismo ocorre quando um grupo de genes normalmente recessivos se torna dominante, levando à falta de pigmentação da pele. Embora em geral inofensiva, a aparência de um indivíduo albino pode ser assustadora, sobretudo para quem não conhece a condição. Ela se caracteriza por uma pele extremamente pálida e íris vermelhas.\nO albinismo era visto com grande desconfiança na maioria das culturas antigas, a ponto de ainda hoje pessoas com a condição serem evitadas e postas de lado, e consideradas mau presságio em muitas partes do mundo. Embora seja inofensiva do ponto de vista fisiológico, ela faz o indivíduo se destacar. Isso pode reduzir a capacidade de um carniçal de se misturar à multidão sem a ajuda de um disfarce. Por outro lado, quem carrega o Defeito Albino também pode transformar o medo alheio em fonte de intimidação, principalmente se o seu carniçal ou revenante tiver uma reputação que não possa ser ignorada.\nAo escolher o Defeito Albino, tenha em mente que sua pele é altamente suscetível a queimaduras solares, por ter pouca ou nenhuma pigmentação para refletir os raios UV nocivos do sol.\nUsado por: todos os carniçais e revenantes Modificações de Vicissitude
Amnesia	Você é incapaz de lembrar qualquer coisa sobre seu passado, sobre si mesmo ou sobre sua família (seja ela mortal ou vampírica), embora esse passado possa muito bem voltar para assombrá-lo. Suas origens e as circunstâncias por trás da amnésia cabem ao Narrador determinar, e ele é encorajado a torná-las o mais interessantes possível.
Anachronism	O tempo passou por você… ou talvez ainda não tenha alcançado você. Suas crenças, personalidade, maneirismos, moda e expectativas estão radicalmente fora de compasso com o mundo ao seu redor. Isso pode ser um afetamento deliberado da sua parte ("Os Velhos Tempos eram melhores que hoje" / "Por que esperar o futuro chegar se você pode se tornar o futuro?"), um soluço temporal ligado à Esfera do Tempo ou um Defeito de Paradoxo, o resultado de uma longevidade paranormal ou de uma viagem no tempo para trás, a manifestação de uma vida passada (ou futura) especialmente insistente… diabos, talvez nem você saiba direito por que é assim, mas é, e o resto do mundo não consegue deixar de notar.\nO valor deste Defeito depende do tamanho da encrenca em que seus anacronismos o metem:\n(1 ponto) Você parece um pouco esquisito e potencialmente ofensivo ("Por que eles não estão sentados no fundo do ônibus? Não existe lei sobre isso?"), exibindo manias de um passado ou futuro reconhecivelmente diferente, mas não radicalmente atrás ou à frente da época atual. Some +1 à dificuldade para entender a tecnologia e os modos de comportamento atuais.\n(2 pontos) Você é uma relíquia de uma era claramente anterior, ou o arauto de uma seriamente avançada. O que você diz, veste, espera e acredita está perturbadoramente fora de sintonia com o que o cerca e pode criar problemas consideráveis… especialmente quando você discursa sobre bobagens como política, costumes sociais, sexualidade e lei. A tecnologia atual o confunde, seja por ser inexplicavelmente avançada, seja por ser assombrosamente primitiva. Some +2 à dificuldade de todo esforço para compreender sua época atual, incluindo rolagens sociais que dependam de se dar bem com as pessoas desta era.\n(3 pontos) Você vem de um tempo tão distante que a era atual lhe parece tão alienígena quanto você parece às pessoas dela. Diabos, você pode nem falar inglês (traço comum de quem existiu antes da expansão da influência britânica e americana nos anos 1800), ou falar sua língua com um sotaque e expressões que essencialmente a transformam em outro idioma (pense em Shakespeare, ou no romance Laranja Mecânica, de Anthony Burgess). Suas expectativas quanto a tecnologia e costumes sociais divergem de forma selvagem, e você pode facilmente se meter em apuros sérios. Some +3 às rolagens apropriadas, e você pode ser incapaz de processar certas coisas (dirigir, política, informática atual etc.) por completo.\nSupondo que você tenha a chance de se aclimatar ao que o cerca, este Defeito pode ser reduzido com pontos de experiência. Até lá, seus companheiros terão muita coisa a explicar em seu nome!
Ancestral Soil Dependence	Sua carne anseia por uma terra natal que você nunca viu. A voz de Kupala castiga seu sono diurno se esse anseio não for atendido. A terra de um lugar importante para você como mortal não basta; além dela, você precisa de dois punhados do solo maculado do leste europeu, da terra ancestral dos Tzimisce. Este Traço se manifesta com mais frequência nos filhos dos koldun e no ramo do Clã que se acredita descender de Yorak. Pode até se manifestar em filhos gerados gerações depois de seus ancestrais terem se mudado. Personagens Abraçados no leste europeu não podem escolher este Defeito (já dependem do solo local).
Animate Shadow	Sua sombra não é meramente a ausência de luz no formato do seu corpo; é uma entidade viva e maldosa, com vontade própria. Ela ataca amigos e inimigos por igual, rasgando o cenário e rosnando para quem passa. Além de ser um problema assustador, você perde dois dados em todas as rolagens Sociais com Lasombra que saibam da sua condição.
Anosmia	Sua vida no esgoto tirou seus sentidos de olfato e paladar. Isso significa que você não se abala nem com o pior fedor ou o sabor mais repugnante. Significa também, porém, que você jamais consegue ter sucesso em qualquer rolagem de Percepção que dependa de gosto ou cheiro. E isso não o torna imune de forma alguma a ataques de gás ou venenos; você só não vai perceber que eles estão ali.
Apostate (Dark Ages)	Não há pecado em mudar de Estrada. Contudo, a maneira como você mudou foi espetacular e ofensiva. Você denunciou publicamente sua antiga Estrada e discursou contra as falhas dos preceitos dela. Como era de se esperar, isso lhe rendeu a ira dos que seguem sua antiga Estrada, mas também deixou desconfiados os membros da nova. Você precisa trabalhar o dobro para ganhar o respeito dos seus pares. Fique atento, também, aos que possam buscar vingança.
