# road_aura_map.tsv - A MAO, conferido contra o livro (T849, I141b, I141g). 55/55.
# nome_picker<TAB>bid<TAB>nota     (bid = <livro>:<pag_impressa>:<ordinal>, o mesmo formato do
# tid de road_sins_map.tsv; resolve em road_aura_raw.tsv ou em road_aura_overrides.tsv)
#
# JA ESTA NA FORMA POS-T932 e a ficha ja acompanhou: Road of Heaven fora, Path of the
# Prophet/Islam dentro, e a 1a linha e `Path of Humanity` e nao `Humanity` (o renome de T906,
# I135b) - a chave que T931 vai escrever e o valor do PICKER byte a byte (V24, I142e).
#
# ⚠ AS 16 FILHAS APONTAM PARA O bid DA MAE, e isso e I141g e nao economia: "a aura do filho e a
#   da mae" - o livro nao imprime bloco proprio para nenhuma delas (VARRIDO: 33 blocos rotulados
#   nos 5 livros contra 39 maes, e nenhum sobrando). Marcadas com =<mae> na coluna nota, o mesmo
#   sinal que road_bearing.tsv usa.
#
# ⚠ A CONTA DE MAE NAO E A MESMA DAS DUAS OUTRAS LISTAS, e as 3 sao MEDIDAS (I141d):
#     aura   -> 39 maes / 16 filhas   (esta lista; = road_bearing.tsv)
#     tabela -> 37 maes / 18 filhas   (road_sins_map.tsv: Angra Mainyu e Ahura Mazda herdam
#               TABELA por prosa do dac p.84 e mesmo assim tem AURA propria no mesmo paragrafo)
#   Nao existe 1 numero que sirva para as duas. Sondar o artefato, nao deduzir (B141).
#
# ⚠ Path of Christianity, Path of Life/Judaism e Path of the Prophet/Islam sao MAES de tabela
#   (10 niveis proprios cada) e mesmo assim as 3 dividem UM bloco de aura, da:120:1: o livro
#   imprime a Aura no nivel do guarda-chuva que Q58 tirou da lista, e nenhuma propria por Path
#   (CONFERIDO em da pp.120-122). Islam abre a secao na p.121 e a aura dele fica na p.120.
Path of Humanity	core:310:1
The Path of Blood	core:316:1
The Path of the Bones	core:318:1
The Path of Caine	core:320:1
The Path of Cathari	core:323:1
The Path of the Feral Heart	core:324:1
The Path of Honorable Accord	core:326:1
The Path of Lilith	core:329:1
The Path of Metamorphosis	core:331:1
The Path of Night	core:332:1
The Path of Paradox	core:335:1
The Path of Power and the Inner Voice	core:336:1
The Path of Typhon	core:338:1
The Path of the Hive	bh:53:1
The Path of the Scorched Heart	bh:55:1
The Path of Self-Focus	bh:58:1
The Path of Asakku	bh:115:1
The Path of Entelechy	lotc:51:1
The Path of Ecstasy	lotc:70:1
The Path of the Warrior	lotc:72:1
Road of the Beast	da:117:1
Path of the Hunter	da:117:1	=Road of the Beast
Path of Journeys	da:117:1	=Road of the Beast
Path of Liberation	da:117:1	=Road of the Beast
Path of Christianity	da:120:1	aura do guarda-chuva; a secao dela abre na p.120
Path of Life/Judaism	da:120:1	aura do guarda-chuva; a secao dela abre na p.120
Path of the Prophet/Islam	da:120:1	aura do guarda-chuva; a secao dela abre na p.121, a aura fica na p.120
Road of Humanity	da:122:1
Path of Breath	da:122:1	=Road of Humanity
Path of Community	da:122:1	=Road of Humanity
Path of Illumination	da:122:1	=Road of Humanity
Road of Kings	da:126:1
Path of Chivalry	da:126:1	=Road of Kings
Path of Devaraja	da:126:1	=Road of Kings
Path of Daena	da:126:1	=Road of Kings
Road of Lilith	da:129:1
Path of Thorns	da:129:1	=Road of Lilith
Path of Veils	da:129:1	=Road of Lilith
Path of Making	da:129:1	=Road of Lilith
Road of Metamorphosis	da:133:1
Road of Sin	da:135:1
Path of Pleasure	da:135:1	=Road of Sin
Path of the Devil	da:135:1	=Road of Sin
Path of Screams	da:135:1	=Road of Sin
Path of Watchful Gods	da:135:1	=Road of Sin
Road of Bones	da:140:1
Road of Yasa	da:141:1
Road of Blood	da:432:1
Road of the Abyss	da:442:1
Road of Paradox	da:445:1
The Code of Samiel	da:448:1
Road of Set	da:449:1	⚠ NAO e o "Their Aura" do Path of Apep, que esta na MESMA p.449
Path of the Archangel	dac:70:1	a secao abre na p.70 e a tabela de pecados esta na p.71 (I141d)
Road of Angra Mainyu	dac:84:1
Road of Ahura Mazda	dac:84:2	2a frase do MESMO rotulo do dac p.84
