# bg_essence.tsv - a essencia MECANICA de cada antecedente de PICKER_LIST["background"]
# (SPEC T764, T998, I105e, R8). Colunas: nome_EN <TAB> jogo <TAB> epoca <TAB> livro <TAB>
# pag impressa <TAB> resumo de 1 linha da mecanica.
#
# UMA LINHA POR (nome, livro). Um nome que aparece em 2 livros gera 2 linhas, e e a comparacao
# entre elas que decide o corte de I105e - a decisao sai DESTA tabela, nao de memoria (R8).
#
# A coluna `epoca` NASCEU em T998 (12o lote do user, 2026-09-07) e e o eixo NOVO: I105b cortava
# por JOGO e I105e corta por SENTIDO, com rotulo de EPOCA, de JOGO ou de LIVRO conforme o caso.
# epoca sai do livro: core/hh/anarch/bh/m20/w20/w20kin = Modern Nights, da/w20da = Dark Ages,
# m20va = Victorian Age, ca/camyth = Classical Age. Sao os mesmos 4 valores do combo `Era`
# (cboSheetTheme, WoD20.10.lfm), byte a byte - V453(b) mede isso.
#
# Medido em 2026-08-28 sobre os despejos -layout -enc UTF-8 de research/README.md (armadilhas
# 8 e 9), cortando na calha. Paginas sao IMPRESSAS.
#
# jogo: Vampire | Mage | Werewolf. E o eixo de I105b ("Origem = o jogo, nao o livro") - por isso
# core, da, hh, anarch e bh sao todos `Vampire` e nao geram homonimo entre si.
#
# 2a PASSADA, mesma data: o user pos `Mago/Mage - The Ascension` (o M20 EM INGLES, no lugar do
# M20.pdf PT) e a pasta `Werewolf/` inteira. As 27 linhas Mage foram REFEITAS sobre o livro
# ingles - e nao so o texto mudou de fonte, a PAGINA mudou: a edicao PT ordena a lista pelo nome
# PORTUGUES, entao `Library`/`Biblioteca` era p.309 no PT e e p.318 no EN. As paginas abaixo sao
# as do livro INGLES, que e o que I21 bloco 1 tem de imprimir.
#
# NAO HA MAIS BURACO DE FONTE. Os 5 nomes que a 1a passada deixou com `?` (Ancestors, Fetish,
# Kinfolk, Pure Breed, Rites) estao medidos em `w20` 135-140, e `Totem` agora tem os DOIS lados.
#
# ================ O CORTE DE I105e, TIRADO DESTA TABELA (T998, 2026-09-07) ================
#
# SUPERSEDE o bloco que estava aqui, que media o eixo-JOGO de I105b e fechava em 47 itens.
# O piso do corte e I105e(3): parte quando muda a ESCADA de pontos ou mudam os REFERENTES
# (o que os pontos compram) ou quando o livro imprime uma REGRA nova. Redacao diferente para
# a mesma escada, e degrau renomeado com cargo de epoca, NAO cortam.
#
# 7 nomes cortam. Uma vez cortado o nome, TODA epoca com fonte ganha item - I105e(6) - senao
# o rotulo mentiria sobre a epoca que o item cobre:
#
#   Generation  3 : (Classical Age) ca 156 - sem pontos = 11a geracao, escada 10a..6a
#                   (Dark Ages)     da 181 - sem pontos = 12a geracao, escada 11a..7a
#                   (Modern Nights) core 114 - sem pontos = 13a geracao, escada 12a..8a
#   Resources   4 : (Classical Age) ca 157 - especiarias, sal, terras, servos, titulo de Patricio
#                   (Dark Ages)     da 181 - ouro, dizimo, impostos, classe mercante
#                   (Modern Nights) core 115 - dinheiro, acoes, titulos, infraestrutura criminosa
#                   (Victorian Age) m20va 121 - escada propria Poor..Opulence
#   Influence   4 : (Classical Age) ca 157 - cursus honorum + REGRA `acima de 1 tem que ser Patricio`
#                   (Dark Ages)     da 181 - escala generica, igual a do core
#                   (Mage)          m20 316 - deferencia SOCIAL entre Adormecidos, rola como
#                                   parada (Manipulacao + Influencia), sobe ate 10 e CAI por ato
#                                   imprudente. Referente novo + 2 regras impressas novas (R155)
#                   (Modern Nights) core 114 - escala generica
#   Status      3 : (Hunters Hunted) hh 123 - a Society of Leopold, escada de Inquisidor
#                   (Mage)           m20 325 - respeito entre os DESPERTOS
#                   (Vampire)        core 118 - a comunidade KINDRED
#   Library     2 : (Hunters Hunted) hh 140 / (Mage) m20 318
#   Rank        2 : (Hunters Hunted) hh 134 / (Mage) m20 321
#   Requisitions 2: (Hunters Hunted) hh 134 / (Mage) m20 321
#   Totem       2 : (Mage) m20 326 / (Werewolf) w20 140   [ja era assim desde T764, R132]
#
# ==> LISTA FINAL: 59 itens + o vazio. Eram 47; as 7 familias acima ocupavam 8 e passam a 20.
#     (T998 fechou em 58; `Influence (Mage)` entrou em T1011, R155.)
#
# 3 CORTES QUE A MEDICAO RECUSOU, e o porque - para ninguem tentar de novo:
#
# a) `Status (Classical Age)` NAO existe. A escada do ca 159 e a do core 118 com cargo romano
#    no degrau, e a unica regra que parecia nova - `Caitiff nao compra Status na criacao` -
#    esta no core tambem (`Note that Caitiff characters may not purchase Status`, core p.118).
#    Cargo renomeado nao e referente novo. MEDIDO ao construir T998; SPEC R147 dizia que
#    cortava e esta ERRADA nesse ponto (divida de spec, ver HANDOFF).
# b) `Mentor` nao corta em epoca nenhuma. As 5 leituras (core 115, da 181, hh 140, m20 318,
#    w20 138) sao todas `um mais-velho que orienta, e o nivel e o poder dele`. O ca 157 poe
#    Imperator e Pater Patriae nos degraus - de novo, cargo renomeado.
# c) `Fame` nao corta. A reducao de dificuldade de cacada por ponto esta no core 114 E no
#    da 180 E no ca 156. A 1a leitura achou que era so do Dark Ages e estava errada.
#
# Os 8 nomes do ca que nao cortam entram na tabela mesmo assim (procedencia, V454) mas nao
# geram item: Allies, Alternate Identity, Contacts, Domain, Fame, Herd, Mentor, Retainers.
#
# 5 nomes que o m20va SO RESSALVA (logistica, paradigma, politica da Ordem da Razao) e nao
# redefine, entao nao viram linha: Enhancements, Secret Weapons, Backup, Library, Requisitions.
# So `Resources` ganha escada propria la (R140).
#
#
# ================ 2 ACHADOS QUE A MEDICAO TROUXE JUNTO ================
#
# a) O livro escreve `Artifact` e `Requisition` no SINGULAR (hh p.140 e p.134); a lista da ficha
#    usa o plural. O user DECIDIU manter o plural (2026-08-28) e a lista nao foi renomeada.
# b) hh p.122 traz 2 antecedentes que a lista nao carrega: `Mob` (comanda uma turba de 2 a 25
#    pessoas) e `Reliquary` (acesso a uma reliquia da Igreja; perde-la consome os pontos). W20
#    traz outros 2: `Fate` (w20 p.137) e `Spirit Heritage` (w20 p.139). Incluir qualquer um
#    seria alargar I105a, que so mandou entrar `Artifacts` - nao entraram.
#
nome_EN	jogo	epoca	livro	pag	essencia
Allies	Vampire	Modern Nights	core	111	Mortals who help you willingly, without coaxing; may lend their own Backgrounds and indirect access to their contacts, influence and resources.
Allies	Vampire	Dark Ages	da	179	Mortals who support you willingly, without coercion, and are not always available when you call.
Allies	Mage	Modern Nights	m20	303	Folks who have your back in time of need - badass friends, helpful animals, people who owe you.
Allies	Werewolf	Modern Nights	w20	135	People who help and support you out of love or common interest - family, friends, or a group that owes you.
Alternate Identity	Vampire	Modern Nights	core	111	A second persona with papers and documentation; dots buy how deep the cover runs and how much recognition it carries.
Alternate Identity	Vampire	Dark Ages	da	179	A complete alternate identity with proper documentation for the period.
Alternate Identity	Mage	Modern Nights	m20	304	An identity to disappear into, meant for shapechangers, clones and people in dangerous professions.
Ancestors	Werewolf	Modern Nights	w20	136	Contact with the spirits of the Garou who came before; the rating is how readily an ancestor answers and lends what it knew.
Arcane	Mage	Modern Nights	m20	305	The fine art of disappearing: records get lost, cameras glitch, people fail to place you; the Technocratic side is Cloaking.
Armory	Vampire	Modern Nights	hh	37	A stocked and maintained weapons cache; each dot buys more potent weapons plus the ammunition and upkeep to keep them fire-ready.
Armory	Vampire	Modern Nights	anarch	99	Same trait reprinted for Anarch characters: a functional armory plus the ability to maintain every weapon in it.
Artifacts	Vampire	Modern Nights	hh	140	Printed `Artifact`, singular. Arcanum trait: begin play owning a supernaturally potent item, its power set by the dots.
Avatar	Mage	Modern Nights	m20	305	The Awakened self; the rating measures it, sets how much Quintessence the mage can hold and shift, and how real it feels; the Technocratic side is Genius.
Backup	Mage	Modern Nights	m20	306	You can call in the cavalry and expect help, in a limited capacity, through your membership in an organization.
Base of Operations	Vampire	Modern Nights	hh	38	A secure HQ the hunter owns; points are split across three categories - Luxury, Size and Security.
Certification	Mage	Modern Nights	m20	308	In an age of permits for everything, the right certifications open the doors the paperwork guards.
Chantry	Mage	Modern Nights	m20	308	A stronghold shared with like-minded associates that pools territory, resources and mutual defense; the Technocratic side is Construct.
Contacts	Vampire	Modern Nights	core	112	People you bribe, manipulate or coerce for information; dots buy the reach of the network plus a few major Contacts.
Contacts	Vampire	Dark Ages	da	179	People you manipulate or coerce into offering information, with minor contacts spread around.
Contacts	Mage	Modern Nights	m20	309	People who know things - not as helpful or reliable as Allies, but they help you dig things up.
Contacts	Werewolf	Modern Nights	w20	136	Acquaintances from all walks of life who do not mind telling you what is going on.
Cult	Mage	Modern Nights	m20	310	Devotees who go past friendship: they trust you and act on your word.
Demesne	Mage	Modern Nights	m20	310	The mage's mind is her castle: a world of her own making that she can retreat into.
Destiny	Mage	Modern Nights	m20	311	You are a Chosen One with a part to play in the cosmic drama; prophecy hints at your coming greatness.
Domain	Vampire	Modern Nights	core	112	Physical territory whose access you control FOR FEEDING; dots buy its size and the strength of the claim.
Domain	Vampire	Dark Ages	da	180	Feeding territory your character controls, held by leave of the local Prince or elder Cainite.
Dream	Mage	Modern Nights	m20	312	Conduits to cosmic consciousness that feed the mage insight she did not study for; the Technocratic side is Hypercram.
Enhancement	Mage	Modern Nights	m20	312	Enlightened hypertech grafted into living tissue - cyborg implants or genetic biomods - in one of three declared configurations.
Fame	Vampire	Modern Nights	core	114	Recognition in mortal society; dots buy privileges and how far you can sway public opinion.
Fame	Vampire	Dark Ages	da	180	Widespread recognition as entertainer, scholar, warrior or criminal.
Fame	Mage	Modern Nights	m20	313	You are famous within the Sleeper world, for a story-based reason.
Familiar	Mage	Modern Nights	m20	314	An animal ally bound to the mage, in the classic witch's-cat mold; the Technocratic side is Companion.
Fetish	Werewolf	Modern Nights	w20	137	You own a fetish - a physical object with a spirit bound into it, and the spirit is what grants the object its powers.
Generation	Vampire	Modern Nights	core	114	Purity of the blood and closeness to the First Vampire; without dots you start as 13th Generation.
Generation	Vampire	Dark Ages	da	181	Same trait, medieval era: purity of blood and proximity to the First Vampire.
Generation	Vampire	Modern Nights	bh	50	Tal'Mahe'Ra variant: the sect does not recruit the weak, so its characters run to lower Generation.
Guide	Vampire	Modern Nights	hh	39	A spiritual entity that aids the hunter through dreams, signs and portents, with hidden motives and a price of its own.
Herd	Vampire	Modern Nights	core	114	A group of mortals you feed from without fear; dots buy how much blood per night and what minor tasks they will run.
Herd	Vampire	Dark Ages	da	181	A group of mortals to feed on safely, useful for minor tasks besides nourishment.
Influence	Vampire	Modern Nights	core	114	Pull in the mortal community through wealth, office or blackmail; dots buy how far you sway political and social process.
Influence	Vampire	Dark Ages	da	181	Pull in the mortal community through wealth, lineage, prestige, politics or blackmail.
Influence	Mage	Modern Nights	m20	316	Attention and respect within the Sleepers' world - celebrity, gang boss, politician, cult leader.
Kinfolk	Werewolf	Modern Nights	w20	138	Contact with the humans and wolves descended from Garou who did not inherit the spiritual duty; dots buy how many and how useful.
Legend	Mage	Modern Nights	m20	317	Humanity's collective imagination focuses on you; you carry a mythic reputation you did not ask for.
Library	Vampire	Modern Nights	hh	140	Arcanum trait: the research difficulty number drops by the rating, and it does not stack with Axis Mundi access.
Library	Mage	Modern Nights	m20	318	A collection of books and files worth having in the Internet age; dots buy how far the archive reaches.
Mentor	Vampire	Modern Nights	core	115	A Kindred or group of Kindred who guides and aids you now and then; dots buy their power and reach.
Mentor	Vampire	Dark Ages	da	181	A Cainite or group of Cainites who look out for you with guidance and occasional aid.
Mentor	Vampire	Modern Nights	hh	140	Arcanum trait: the Elder Brother or Sister who initiated you; the rating is their standing and your starting reputation.
Mentor	Mage	Modern Nights	m20	318	An elder mage who took an interest in you and provides training, guidance and occasional assistance.
Mentor	Werewolf	Modern Nights	w20	138	A Garou of higher Rank who has taken an interest in you and will look after you, up to a point; the rating is how powerful the mentor is.
Node	Mage	Modern Nights	m20	319	A place of gathered Quintessence where the mage meditates to restore her inner reserves.
Past Lives	Mage	Modern Nights	m20	320	Meditate on an earlier incarnation for help with the situation at hand: once per session the Background pool is added to another task's pool.
Patron	Mage	Modern Nights	m20	320	A faction player who moves you as a piece and conceals his face from the pawns.
Pure Breed	Werewolf	Modern Nights	w20	138	Descent from renowned Garou forbears; the rating is the standing that ancestry alone buys in Garou society.
