# clan_body_en.tsv - o CORPO em ingles de cada um dos 61 nomes de PICKER_LIST["clan"].
# GERADO por research/clan_extract.ps1 a partir do cache de texto dos livros em
# %TEMP%\wod_books_txt. Nao edite a mao: conserte o gerador e rode de novo.
#
# nome_picker<TAB>livro<TAB>pagina_impressa<TAB>corpo (com \n escapado)
#
# DUAS FONTES, porque o livro escreve as duas metades diferente:
#   13 do core (pp. 48..72, PARES): o TITULO e arte e nao esta na camada de texto, entao o
#     corpo e a pagina inteira ATE a linha Nickname:.
#   os outros 48: o titulo E uma linha de texto, entao o corpo vai do titulo ate o 1o rotulo
#     mecanico OU ate o titulo do proximo verbete, o que vier antes.
#
# 4 nomes nao saem do core: Gargoyles (Scout|Sentinel|Warrior) = lob p.36 (pinados) e
# Caitiff = anarch p.39.
#
# As paginas foram TODAS corrigidas em 1 na 176a rodada: $OFF e relativo ao INDICE 0-based e
# carregava o numero do PDF (1-based). O Caitiff perdeu 1075 chars alheios pela mesma revisao.
Assamite	core	48	The childer of Haqim, known as Assamites to the rest of the Kindred, are a silent knife in the dark, an order of bloodthirsty assassins who participate in the secret wars of the undead by operating as killers for hire. Outside the purview of the Sects, the Assamites are true independents and mercenaries, hiring out to whoever can pay their blood-price and ungoverned by the will of Prince or Priscus. By the time a mark realizes that he’s being hunted by an Assamite, it’s often far too late. Needless to say, this makes the Assamites both feared and reviled by many of the other Clans.\nIn truth, the Assamites are more than simple thugs and killers. Theirs is a complex but insular Clan predicated upon the three principles of wisdom, sorcery, and diablerie. Most Assamites that other vampires encounter are members of the warrior caste, however, so Kindred society has painted them all with that brush. For their part, the Assassins have done nothing to stop this misunderstanding. If it helps them acquire contracts and it occludes the true nature of their Clan, the better for them.\nLong ago, the Assamites were brought to heel by a powerful curse to curb their bloodlust, levied by the Tremere at the behest of the Camarilla. They cannot taste the vitae of vampires without it causing them harm. In their ongoing quest to lower their Generation and bring themselves closer to their holy figure, Haqim (whom some outside scholars claim was of the Second Generation, while others insist he was a judge appointed by the other Antediluvians), the Assamites must refine the blood of Kindred into an alchemical solution. Were it not for this mystical yoke, the Assamites would surely be unchecked on a crusade of unholy diablerie.
Brujah	core	50	The legacy of the Brujah is one of halcyon greatness marred by their own fiery natures. Theirs was the glory of ancient Carthage, but Ventrue treachery in ancient Rome brought the dream to an end. Since then, the Brujah have borne a grudge.\nTonight, the Brujah are rebels and provocateurs, bat-swinging hooligans and\nagents of change in a society long crippled by stasis. As rebels, it’s in their nature to challenge the status quo — though sometimes, without adequate opposition, they embody the status quo themselves. It works out fine, because there’s always a hot-blooded Brujah waiting in the wings to bring down an uppity Clanmate grown too comfortable in the role of rebel-turned-dictator.\nMore so than any other Clan, the Brujah still feel the flames of the passions that once inspired them as mortals. Clan Brujah loves a cause and is quick to act on a stirring speech, accusation of injustice, or a call to arms. This connection to passion can be a blessing, but inspiration can also yield to the madness and hunger of the Beast.\nNo wise Prince turns his back on the Brujah, and rare is the Brujah who would allow herself to be manipulated or pandered to. A Brujah is her own master, first and foremost, and those who would bring her to heel face a\nterrible task. A Brujah who thinks she’s getting the short end of the stick will tear an enemy to ribbons first and maybe remember to ask questions later, no matter if he’s a Primogen or a mortal authority.\nSome Kindred historians claim that the Brujah have parlayed their ancient betrayal into a role as agitators against the very order that they help support. Others claim the Brujah have long since submitted to the will of that same order, being little more than loyal opposition rendered impotent. Most Brujah don’t care either way, as long\nas someone needs a good ass-kicking and they can be the ones to deliver it.
Followers of Set	core	52	Addiction, debasement, corruption, and desperation strike fear into many Kindred who worry that theirs will become an unlife of ruin, but to the Followers of Set, these and more are the tools of the trade. Pimps, pushers, and priests, the Setites cater to the needs of the desperate, and convert them to a nihilistic cause in doing so. Whether one needs flesh, money, drugs, or dark secrets, the Followers of Set can provide it, and when they do so,\nthey all but guarantee themselves a return visit from those who seek them.\nThe Followers of Set are as much a chthonic religion as they are a Clan, though the faith includes the Clan. Its mythology is complex and convoluted, an impenetrable pantheon of god-monsters. At the apex of this worship stands a syncretism of the Egyptian Lord of the Underworld Set and the Greek hydra Typhon, as much spiritual guardians of secret places as they are the “liberators” of other’s souls. To outsiders, this is all blasphemous religious affectation, but to devout Setites, the cult and cause are real, and their dark lord works his will through them.\nNeedless to say, the politics of desperation and the placation of evil gods place the Serpents on the outside of Kindred society. The Setites are fine with this. The\nKindred can often find themselves in need of what the Followers of Set purvey, and the extra “service” of secrecy is one the Setites are happy to provide — at a premium. The Setites offer a devil’s deal, but on their own terms. That way, when they collect their due and feed blood and souls into the maw of the Typhonic beast, all of its sacrifices have been given willingly.
Gangrel	core	54	A glint of red eyes in the darkness, the scent of a predator’s musk, a flash of fangs, the sound of flesh tearing: These mark the presence of the Gangrel. More than any other Clan, the Gangrel resemble the beasts associated with the legends of vampires: bats, wolves, and other creatures of darkness. Indeed, the Outlanders may develop the ability to transform themselves into these and other, more primal forms.\nThe Gangrel have other characteristics in common with animals as well. Many shun the elaborate social constructs of both Kindred and kine. A number of them prefer to move alone or as a member of small packs or coteries. Most are tough and, when pressed, ferocious. And when Gangrel succumb to the depredations of the Beast, they are left with some feature redolent of the animal kingdom.\nAs a Clan, the Gangrel are wary and aloof. Most would prefer to spend their nights stalking prey or wilding on the rooftops than minding Princely edicts or lobbying for recognition of domain. Theirs is a tense relationship with vampire society, and Outlanders are among the most frequent to turn Anarch or Autarkis. In some localities, the Gangrel have collectively abandoned membership in any Sect — insofar as the Gangrel truly ever do anything collectively.\nThe Jyhad seems less pronounced among the Gangrel than it is among other Clans, and the Outlanders have little regard for the eternal conflict. Differences between Gangrel more often fall along the lines of domain and feeding rights than they do on generational mistrust, and the things that concern young Outlanders are matters that concern Gangrel ancillae and even elders. Still, one would be hard-pressed to consider the relationship among Gangrel of different generations amicable, except in isolated sire-childe situations. The Beast is ever suspicious of those who would take sustenance from it.
Giovanni	core	56	Achieving prominence during the Venetian Renaissance, the Giovanni family built their fortune on the rise of the middle class and the ready profit of banking and Mediterranean trade (and the criminal enterprise that came with it). However, with the family’s rise came hubris, as its paterfamilias sought ever more power, and with that hubris came horror. With his earthly power at its apex, Augustus Giovanni turned to the arts of controlling the dead, and in doing so, gained the Embrace from a forgotten Antediluvian. With a conclave of conspirators, the Giovanni plunged a now-forgotten Clan into oblivion and built their own legacy on its corpse.\nSince those first nights, the Giovanni have accepted no limits on their ambitions, despite opposition from Kindred outside their Clan and a well-deserved reputation as “Devil Kindred.” They studied forbidden arts, becoming formidable in the nigrimancy that allowed them power over the spirits of the departed, and degeneracy followed in the wake of unclean ritual. To this night, the Giovanni are known for the insular nature of their Clan and the incestuous practices by which they populate it. A few outside families and factions fall under Giovanni auspices, but the vast majority of the Clan comes from the debased mortal family. The family remains successful despite all of their ghastly peccadilloes, and has amassed a vast wealth through crime, politics, and the secrets of the dead that keeps them in their position of degraded opulence.\nIn public view, the Giovanni make a great show of humility and respect. Part of this gentility is a habit of centuries, still in place from when the other Clans hunted the usurping Necromancers (and to preserve their hardwon neutrality from the conflict between the Camarilla\nand the Sabbat). Another part of it is the velvet glove hiding the iron fist of their nature, remarkable for forcing ghosts, minds, and bodies alike to bow to their needs. To hear the Giovanni tell it, Princes and Archbishops alike owe them favors, and anyone with something to offer may earn their patronage.\nFor the most part, the Giovanni participate little in the Jyhad, pursuing their own agenda of cultivating wealth and building a foundation of power in the lands beyond the veil of death. Outsiders rarely comprehend the goals of the Necromancers, but only the most trusted of the Giovanni know that the Clan wants to plunge the world into a state where the dead and the living commingle.\nAnd with their mastery of Necromancy, the Giovanni would be positioned to rule it all.
Lasombra	core	58	To the mind of a Lasombra, it is better to reign in hell than to serve in heaven. Fear, frenzy, the power to determine whether another lives or dies: these are at the root of the power that the Lasombra hold dear. Whereas other vampires try vainly to hold the Beast at bay or give themselves wholly to it, the Lasombra beat\nthe Beast into submission, invoking it when it suits them but leaving it trapped inside when they wish to govern themselves.\nIt is with these predilections that the Lasombra style themselves a “dark nobility,” an aristocracy of the night that chose the supremacy of the Cainites over\nveneration of the Masquerade.\nTheir regard for such ideas as redemption and salvation are cynical at best, and much of the pomp that shaped the Clan’s pre-Sabbat outlook remains only with a sense of blackest irony or open mockery. The grandeur and rituals of the Church and aristocracy remain dear to the Lasombra, however, and the Clan was instrumental not only in establishing many of the rituals of the Sabbat, but in the institutions that keep it from descending into chaos each night.\nWhether they see themselves as God’s instruments or as outcasts from His creation, the Lasombra believe they have a duty (whether to Sect, Clan, pack, or even just themselves), and obligation to their responsibilities gives them a wicked sense of purpose. Even a Lasombra shovelhead may consider himself a cut above the rest; a surprising number of Lasombra mass Embraces survive, perhaps owing to the intervention of their sires.\nWhile the night belongs to all Kindred, the Lasombra are truly born to darkness, to the degree that their very Clan name reveals their tie to shadow. Theirs is the Discipline of Obtenebration, and it allows them to wield the stuff of shadow and darkness, and even reach beyond the darkness of the physical world into the abyss that lies beyond.
Malkavian	core	60	Clan Malkavian is twice damned: once by the curse of being Kindred, and again by the turmoil that disturbs their hearts and minds. Upon the Embrace, every Malkavian is afflicted with an insurmountable insanity that fractures her outlook for every night thereafter, making her unlife one of madness. Some consider this a form of oracular insight, while others simply consider them dangerous.\nMake no mistake: Malkavian insanity is a painful, alienating phenomenon, but it occasionally provides the Lunatics with bursts of insight or heretofore unknown perspective. Madness for the Malkavians may take the form of any clinical form of insanity, or it may be a hyperacuity of senses others don’t know they have; a supernatural puppeteer pulling the Malkavian’s strings, or a sense that the Malkavian is somehow ahead of evolutionary schedule. A Malkavian may believe herself to be an idea given physical form or an avatar of some concept the World of Darkness has yet to encounter. She may be a nonstop ravening psychopath, or may be a mostly lucid individual sometimes rendered catatonic by fear of an impending cosmic cataclysm.\nTheir precarious stability makes it hard for other Kindred (or, indeed, any vessels with whom they may meet) to interact with Malkavians. The Clan sometimes indulges in elaborate, terrifying, and dangerous “pranks” which do little to endear them to other vampires. These incidents are nominally meant to educate the target, but the lesson can often be lost between the vampire’s scramble for safety and the inability to parse the Malkavian’s inner logic. Common pranks might be to replace a vain Toreador’s haven door with a guillotine or to redistribute a Brujah elder’s wealth while he’s at Elysium, or it might take the form of giving a hunter the location where the Nosferatu gather. Kindred both dread and resent the word “prank” almost as much as they do the Lunatics themselves.
Nosferatu	core	62	Those who doubt that the Embrace is a curse need look no further than the Nosferatu. Twisted by the mark of Caine, members of Clan Nosferatu are warped by the Embrace into hideous monsters. As such, they skulk and keep to the shadows, and they often rouse the ire and mockery of other Kindred for their nightmarish appearances. Still others are so terrified or revolted by the Nosferatu that these warped Kindred have little\nsocial interaction at all.\nTo their credit, the Nosferatu come to possess many of the whispered secrets of their reluctant fellows. The Sewer Rats enjoy a grudging respect as the infor-\nmation-brokers of the Kindred, given their supernatural acumen at stealth and the fact that many Kindred would rather ignore them than acknowledge them. Savvy Nosferatu exploit this for all it’s worth, turning the hypocrisy of other vampires to their own profit.\nOn the whole, the Nosferatu condition is lonely and alienating. How they react to the Curse of Caine varies with their outlook and mental stamina, but it’s hard to be an object of utter revulsion and not let it shape one’s disposition toward one’s “Kindred” in some way. Some of the Sewer Rats are cruel, as blighted on the inside as they are on the outside, while others are tragic, wretched creatures who have been cursed with eternal outsider status through no choice of their own. A few of the Sewer Rats even position themselves as prophets or avatars of the Damned, physically embodying the haunting riddle, “A Beast I am, lest a Beast I become.”
Ravnos	core	64	The Ravnos move like the rumors that surround them. They are the thief in the night, the raksha chased by the wind, the nightmare-dream too fearful to be real. Whether associated with the Romani folk of Europe or the grave-robbing ghûl of Western Asia, Kindred society burdens the Ravnos with prejudices of foulness, uncleanliness, and wickedness.\nWith reputations like these, the Ravnos are considered outsiders even among those Kindred who do not ally themselves with Sects. Many young Ravnos tend toward nomadic unlives, moving from one domain to the next or hiding on the fringes of established territories where they can escape if local Kindred sentiment turns against them. This exacerbates their reputations as transients, gypsies, and vagrant scourges, but Ravnos vampires adapt well, thriving in their marginalized role. In fact, many choose to make themselves into the ravening terrors that other Kindred believe them to be.\nThe more enlightened among the Ravnos follow a Clan ideology inspired by the cycle of reincarnation espoused by many Indian faiths. Among some young and unprincipled members of the Clan, however, this philosophy becomes a penchant for capriciousness or an excuse for chaos. It is these latter Kindred who give so many Ravnos a bad name, but even the devout seem bizarre to many vampires.\nThe Ravnos practice a unique Discipline known as Chimerstry that convinces their enemies that they see things that do not exist. Chimerstry does much to convince Kindred that the Ravnos trade in lies and misdirection, but it can also prove to be a Deceiver’s salvation and ease the vagaries of an outcast unlife.
Toreador	core	66	From the Toreador perspective, when the sun fades, darkness gives rise to an eternal and wondrous world. Everything is fraught with wonder and terror, low politics and sensual glories, the profound and the profane, and an undeniable undercurrent of the sanguinary. These Kindred are the Toreador, and they spend unlives ensconced in pleasure.\nOf course, for vampires of this disposition, it’s easy to become jaded and bitter. More than the other Clans, Toreador often succumb to ennui, or fight the eventual boredom of unchanging immortality by playing at rivalries. An excess of stimulation turns them into slaves to the sensations they seek. The most debased Toreador can become true monsters, sinking to unimaginable levels of depravity in order to feel anything at all.\nThe Kindred of Clan Toreador often involve themselves greatly in the world of mortals. They have any number of reasons, whether enjoying proximity to the blush of life, cultivating veritable cults of doting followers, or influencing and following the trends that their own kind simultaneously mock and venerate. To hear the Toreador tell it, they are the Muses of a desperate mortal world, inspiring through their beauty or patronage.\nToreador culture is a mixture of sybarites, dilettantes, and visionaries. Some Toreador, with echoes of mortal passion, Embrace lovers or “project” progeny who seem to fly in the face of every Toreador custom. These either don’t last long or rise to great prominence as subversives and individualists. Ideas, trends, and\n“the next great thing” spread through the Clan, and other Kindred often look to the Toreador to guide them. The Degenerates know this, and many become Harpies, Princes, and other key figures in vampiric society.
