# road_sins_pt.tsv - a metade PT da tabela de pecados (T931, I141c, V210). TRADUCAO A MAO -
# nao ha gerador para ela, exatamente como bg_body_pt.tsv de T765 e arch_body_pt.tsv de T838.
#
# tid<TAB>score<TAB>minimum_wrongdoing_pt<TAB>rationale_pt
#
# Casa por (tid, score) contra o EN ja resolvido (raw + overrides). Linha que falta aqui sai no
# .lua como ((FALTA pt <tid>|<score>)) e o gerador conta no fim - nao ha metade calada.
#
# ⚠ O CABECALHO deste arquivo e ASCII e o DADO NAO E: a coluna traduzida leva acento de verdade,
#   como bg_body_pt.tsv ja faz. Texto que o jogador le sem acento e defeito, nao economia.
#
# TERMOS, medidos nos modulos PT que ja existem e nao escolhidos aqui:
#   Kindred -> Membro · Beast -> Besta · frenzy -> frenesi · Rotschreck -> Rötschreck
#   Cainite -> Cainita · vitae -> vitae · Willpower -> Forca de Vontade · Amaranth -> Amaranto
#   diablerize -> diablerizar · Path -> Trilha · Road -> Caminho (o mapa PT do WoD20.6.lfm)
#
# ⚠ V34 proibe "magia menor"/"mago menor" no .lua inteiro - conferir o texto ANTES do gate.
# ⚠ Tabela de FILHA no da e de 2 COLUNAS: rationale vazia e o LIVRO, nao buraco de traducao.
bh:117:1	10	Usar seu antigo nome ou atender por ele	Você não é um vampiro. Você é um fio numa teia de poder.
bh:117:1	9	Recusar-se a usar Vicissitude a cada oportunidade	Torne-se o seu poder.
bh:117:1	8	Deixar de ampliar seu domínio de Vicissitude ao máximo possível	Você precisa aplicar todo o seu esforço em identificar-se com o Vigia interior.
bh:117:1	7	Deixar de cometer Amaranto ou de converter um membro do Clã que pratique Vicissitude	Retome o poder que eles roubaram.
bh:117:1	6	Recusar-se a ensinar Vicissitude	Deixe que o Vigia enxergue por mil olhos.
bh:117:1	5	Permitir que inimigos descubram seu verdadeiro refúgio	Sua toca pertence ao Vigia.
bh:117:1	4	Trair outro dos Corrompidos	Emanamos da mesma escuridão e precisamos abrir caminho até o mundo juntos.
bh:117:1	3	Permitir que inimigos descubram sua verdadeira natureza	Que os bastardos de Caim esqueçam a origem de seus dons até que estejamos prontos para reclamá-los abertamente.
bh:117:1	2	Recusar-se a converter à Trilha aqueles sob o vínculo de sangue	O Vigia exige seguidores para manifestar-se com mais força.
bh:117:1	1	Deixar de usar Vicissitude todas as noites, exceto em torpor	A sombra que murmura dentro de você precisa falar
